,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id
10,0,958,2610,0,2,0,Sat Jun 27 03:57:02 +0000 2009,2490312821.0,"Los Angeles, CA",Ian K. Grant,4389,black people are,black,PrinceIankyle,Sun Sep 24 23:38:03 +0000 2017,@_Jazzie_Kay_ @ldontgotanyhoes Why can’t we be offended? Because black people like you are okay with being called “… https://t.co/w08SPTNqsb,51338577
11,0,32,19,0,0,0,Wed Apr 16 18:29:54 +0000 2014,,"Clermont, FL",Neville Ibrahim,19,black people are,black,NevilleReal,Sun Sep 24 23:37:40 +0000 2017,"NASCAR owners are mainly composed of racist whites that haven't experienced oppression, pain, and disenfranchisement like black people have.",2447756448
12,11,7582,920,0,0,2,Fri Aug 02 14:25:01 +0000 2013,,Texas,Brandon Neely,11826,black people are,black,BrandonTXNeely,Sun Sep 24 23:37:15 +0000 2017,So according to Cookie here all black people taking a knee are thugs. https://t.co/mPxUxW4Sre,1640603341
13,0,3362,1975,0,0,0,Thu Mar 31 14:47:18 +0000 2011,,"Charlotte, NC",Psilocybin 💫,202216,black people are,black,LordOfDaWingz,Sun Sep 24 23:36:32 +0000 2017,“Straight black men are the white people of the black community” https://t.co/jGpczxORCd,275049451
14,0,0,38,0,0,0,Wed Sep 06 20:24:29 +0000 2017,,"Florida, USA",G Graham,47,black people are,black,GGraham1023,Sun Sep 24 23:36:05 +0000 2017,Uncle Tom!!! YOU are a disgrace to all black people. Stop selling out.,905527143714742281
15,0,76,620,0,2,0,Sun Jul 02 20:44:34 +0000 2017,7.775158771471606e+17,"Vancouver, WA",Big Daddy J,276,black people are,black,BigDaddyJ73,Sun Sep 24 23:35:31 +0000 2017,"@ElelphantPinata @StanCoulter I know you MAGA idiots are sure to use ""you people"" a lot. But I'm not black.",881614597060296704
16,0,319,484,0,2,0,Wed Mar 14 02:23:38 +0000 2012,3909670948.0,NJ,StaBo,5116,black people are,black,StacyBonino,Sun Sep 24 23:34:45 +0000 2017,@benwhaley2 @DonCheadle teach white history.  The months are to honor women &amp; black people who have made a differen… https://t.co/9CSMbFyAdp,523924440
17,0,50,148,0,2,0,Sun Dec 14 23:38:21 +0000 2014,397083809.0,Canada,Owner,1652,black people are,black,CrosswaIk,Sun Sep 24 23:34:37 +0000 2017,"@jaredvaldez4 @pewdiepie You are so fucking stupid. 🤦‍♂️
Black people havent always been fucking called names
Us wh… https://t.co/EUBOvi8i5h",2930299244
18,0,117,596,0,3,0,Sat Apr 21 03:07:29 +0000 2012,8.371416535843922e+17,St.Louis MO,Aaron M McDaniel,637,black people are,black,AaronsCorner,Sun Sep 24 23:34:13 +0000 2017,"@Keithwells77777 @ronboutwell @_Makada_ ikr, black and brown people are lawless and sinful people. Please send in t… https://t.co/FcFCH4Otwg",559229250
19,0,13,244,0,2,0,Fri Sep 27 02:10:28 +0000 2013,21696279.0,"NJ, USA",Eric David,158,black people are,black,ericdavid70,Sun Sep 24 23:34:10 +0000 2017,@brianbeutler @jonathanchait Props to successful black people who remember who they are. Too many white people got… https://t.co/s6100sBw7v,1909779540
20,0,154,211,0,1,0,Wed Jun 29 00:21:07 +0000 2016,,"Clovis, CA",Conor Kelly,3306,black people are,black,CK_MooMan,Sun Sep 24 23:33:58 +0000 2017,"""The only people that enthusiastic are sorority girls and black market organ donors"" -@alcaass",747947972097245188
21,1,93,188,0,1,1,Sat Jul 03 20:46:39 +0000 2010,16006592.0,"Santa Cruz, CA",Frederic Py,14132,black people are,black,Frel_,Sun Sep 24 23:33:40 +0000 2017,@BenjySarlin He has no issue w/ white ppl exercising free speech. But black people who are lucky enough to entertai… https://t.co/nxgAiu0CKt,162489212
22,0,1244,890,0,0,0,Mon May 28 14:32:14 +0000 2012,,Georgia,timmy 🤘,47835,black people are,black,_timmmmy,Sun Sep 24 23:32:59 +0000 2017,maybe black people are better at basketball. 🤷🏾‍♂️ please stick to your occupation. https://t.co/LY3dysl8yd,592773542
23,0,42,441,0,0,0,Wed Jul 27 17:14:39 +0000 2016,,"Massachusetts, USA",Lucas Schildbach,902,black people are,black,LucasSchildbach,Sun Sep 24 23:32:32 +0000 2017,"That's right Donny, nothing to do with race. Except all the people you criticize are black and you called white sup… https://t.co/CIGAsORL5p",758349894948163584
24,13,177,252,0,2,0,Tue Mar 14 12:58:51 +0000 2017,368838415.0,"California, USA",Debbie Sweeney,3885,black people are,black,debbersdarling,Sun Sep 24 23:31:53 +0000 2017,"@attitudeforty5 @WalshFreedom They are using their platform to fight bigotry and racism, black people who are shot… https://t.co/gNudvjpxqD",841634731523469314
25,0,9217,937,0,2,0,Thu Jul 12 18:57:57 +0000 2012,317395816.0,"Beverly Hills, California",Alana Stewart,12158,black people are,black,AlanaKStewart,Sun Sep 24 23:31:47 +0000 2017,"@Hhdlenabena @JesSingletary It seems odd to me you feel black people are ""disrespected."" We just had a black presid… https://t.co/TPGBq6pqfN",633966700
26,0,34,311,0,1,0,Wed Jan 25 15:02:35 +0000 2017,25073877.0,United States,Jess,281,black people are,black,nastyloudstrong,Sun Sep 24 23:31:20 +0000 2017,"@realDonaldTrump Are you really digging in deeper on this, Donald? We get it. You hate black people. That has been clear for a long time.",824271250411261954
27,0,1028,2191,0,2,0,Sun Sep 04 03:31:13 +0000 2011,7.739091125770322e+17,"Hattiesburg, MS",illmaculate,966,black people are,black,cmacswavagang,Sun Sep 24 23:30:21 +0000 2017,@adriansgnm @ScottPresler Nazi's protest are called fine people a black dude does it he is a thug his mom a bitch an he should be fired,367526678
28,0,25,95,0,3,0,Wed Dec 14 06:41:29 +0000 2016,2321964294.0,"Georgia, USA",Freaklomein,2374,black people are,black,Freakklomein,Sun Sep 24 23:30:20 +0000 2017,@boolin_bamking @UncleAndy45014 @Slate Yes. Are you aware that white people should be number one on every list? Why… https://t.co/fOdPwGYWg9,808924854707716096
29,0,23,23,0,1,0,Sat Jan 24 06:59:06 +0000 2015,,"Memphis, TN",Tahj Walsh,2494,black people are,black,TahjWalsh,Sun Sep 24 23:29:57 +0000 2017,"I liked a @YouTube video https://t.co/dd92Y5Q1p9 The Root Says ""Straight Black Men"" Are Racists White People?",2995362369
30,0,163,62,0,1,0,Sun Apr 30 16:20:50 +0000 2017,594175899.0,"West Palm Beach, FL",Brittney Henry,1817,black people are,black,brittdaymare,Sun Sep 24 23:29:47 +0000 2017,@Mikel_Jollett Black men and women are people too? 😒😒😒😒😒,858717791188373504
31,0,138,134,0,1,0,Wed Aug 07 04:15:04 +0000 2013,2187614563.0,"San Antonio, TX",Naysia baby,2424,black people are,black,Tenten_Shijo,Sun Sep 24 23:29:36 +0000 2017,@JalynnNicoleee Are they not white? If I'm black then people will call me black. Thats not racist. Plus its not lik… https://t.co/8PDcicPxpZ,1651967022
32,1,111,285,0,3,0,Sat Feb 01 07:54:18 +0000 2014,8.089248547077161e+17,TX,Kin g,1882,black people are,black,boolin_bamking,Sun Sep 24 23:29:18 +0000 2017,@Freakklomein @UncleAndy45014 @Slate Are you aware that more unarmed white people are shot by cops than unarmed black people?,2321964294
33,3,505,1786,0,0,0,Sat Nov 05 04:10:28 +0000 2011,,"Phoenix, AZ",Pidge 🇮🇪 🏴󠁧 🇩🇪,222230,black people are,black,LittleQueerChat,Sun Sep 24 23:28:54 +0000 2017,"actually Joe, it began with white cops murdering innocent black people in droves.

the NFL players are more patriot… https://t.co/lxL8ZFcmG1",405308128
34,1,7843,6032,0,5,0,Mon Mar 16 03:21:28 +0000 2009,629772327.0,"California, USA",Elyrad,21481,black people are,black,ELYRAD,Sun Sep 24 23:28:22 +0000 2017,@KirkNienaber @oldtoothlessli1 @swebb0224 @RobFlowers00 @SInow Your implying black people have never gotten a break… https://t.co/aTd557NODk,24641878
35,0,92,195,0,0,0,Thu Oct 27 14:51:58 +0000 2016,,Chicago,Bran bran .,64,black people are,black,BrandeyTarver,Sun Sep 24 23:27:33 +0000 2017,"We’re already boycotting the NFL, idiot! Because people like you are making money off of Black athletes. So, yes jo… https://t.co/bZZ7Sln1gH",791653672094662656
36,0,3731,3436,3,0,0,Sat May 23 00:29:48 +0000 2009,,"Donora,PA",ShafiqSamad,15674,black people are,black,RamonForman,Sun Sep 24 23:27:30 +0000 2017,Straight Black Men Are The White People Of Black People #MRSUPERBOY223 #WTF #Really https://t.co/zJbzjJMHcB,41936480
37,0,3007,5000,0,2,0,Sun May 21 01:57:26 +0000 2017,4791527244.0,"Dallas, TX",Kristin Fennymore,5069,black people are,black,KFennymore,Sun Sep 24 23:26:51 +0000 2017,@karicha76 @Trumpfan1995 I'm starting to feel like it's the black people that are the racists....,866110653941108736
38,0,315,597,0,6,0,Tue Oct 20 21:10:56 +0000 2009,8.762099115748024e+17,Los Angeles,Jason Bender,1837,black people are,black,Jason_Bender,Sun Sep 24 23:26:51 +0000 2017,"@Caslau02 @Weneedlasers @AinslieBrent @Anvil1888 @PaulWestphal68 @dcexaminer ""Liberals"" are not motivating black pr… https://t.co/4d84Os1KUx",83926452
39,0,6,57,0,0,0,Tue Sep 27 18:49:57 +0000 2016,,"Chicago, IL",god jahi tau,125,black people are,black,GodJahi,Sun Sep 24 23:26:26 +0000 2017,"And this is why they are trying to confuse black people with responding to killing black folks with
Lgbtq issues.
O… https://t.co/FraeBjke2y",780841925771272192
40,0,1109,1132,1,0,0,Mon Nov 01 08:59:16 +0000 2010,,"philadelphia,",Cadence_East_,14350,black people are,black,AresPhoenex,Sun Sep 24 23:25:22 +0000 2017,Do you guys even know what #blm stands for?  I am convinced not even the people who are black really know.,210753449
41,0,591,1102,0,0,0,Sat Jan 30 02:11:17 +0000 2010,,Probably at work...,Jamal Robinson,28885,black people are,black,JamalFrederick,Sun Sep 24 23:25:18 +0000 2017,"At the rate in which Black people are told ""you have the right to remain silent"",u would think more folks would be cool w/ a silent protest.",109730845
42,0,815,1435,0,0,0,Tue Mar 10 03:17:32 +0000 2009,23549825.0,"Houston, TX",Tori,114578,black people are,black,VicTORIousGable,Sun Sep 24 23:25:17 +0000 2017,"Also, have they met any black people. They'd graffiti many things but a church ain't one of them.   You know how revered churches are to us?",23549825
43,0,2172,315,0,4,0,Tue Jan 29 06:47:33 +0000 2008,12818342.0,"Chicago,Il",SnorkyJr,82150,black people are,black,SnorkyJr,Sun Sep 24 23:25:10 +0000 2017,"@jabezlebret @DrMMs3 @JSwanson77 @Liz_Wheeler That the cops are killing black people. Hey, start at the top of the… https://t.co/M3UF2ngC9i",12818342
44,4,3192,4630,1,0,5,Mon Jul 20 03:01:04 +0000 2009,,"NH, USA",Scotti 👌,50873,black people are,black,deejjj234,Sun Sep 24 23:24:30 +0000 2017,"A black man became the President of the United States, but black people are suddenly oppressed. #Taketheknee",58371104
45,0,1028,2191,0,1,0,Sun Sep 04 03:31:13 +0000 2011,931286316.0,"Hattiesburg, MS",illmaculate,966,black people are,black,cmacswavagang,Sun Sep 24 23:24:01 +0000 2017,@ScottPresler There are no black people either so why would they give a fuck they probably hate people of color just like you,367526678
46,0,777,631,0,0,0,Wed Aug 03 00:56:54 +0000 2011,,New Hampshire ,Megan,109054,black people are,black,MegAlthaHope,Sun Sep 24 23:23:47 +0000 2017,BLACK PEOPLE ARE SO LITTTTT lmfaoooo https://t.co/9WV6xAPzHH,347576630
47,1,620,282,0,0,1,Thu Jun 13 20:39:10 +0000 2013,,"Hamilton, Ontario",Carolly Kasenumi,34593,black people are,black,doncwrites,Sun Sep 24 23:23:12 +0000 2017,"America is the country of ""Everything is ok except when black people do it"" and people still say, ""Why are you so angry? Try being polite.""",1514385426
48,0,881,64,0,1,0,Mon Jul 09 06:37:28 +0000 2012,2420518749.0,"Las Vegas, NV",aaron,33529,black people are,black,savyeet,Sun Sep 24 23:23:09 +0000 2017,@vasulmao the hoodie looks like an over designed thing that black people wear but the other shirts are dope,630857062
49,0,70,314,0,0,0,Thu Apr 13 14:14:59 +0000 2017,,Freetown USA,Name Cannot Be Blank,4814,black people are,black,JohanDoah,Sun Sep 24 23:22:34 +0000 2017,"If you are black and conservative, Leftists hate you more than they hate white people, but I don't have to tell you that. You know already.",852525527537565696
50,1,196,258,0,0,0,Wed Jun 18 23:47:52 +0000 2014,,"new york, ny",benny wit da semi.,741,black people are,black,babybenoit,Sun Sep 24 23:22:29 +0000 2017,all the black people in media are fighting back and it brings tears to my eyes.,2621448712
51,1,700,1053,0,0,0,Tue Apr 28 18:25:54 +0000 2009,,"Spokane, Wa",Giant Legoman,71739,black people are,black,SYKOScoRch,Sun Sep 24 23:22:17 +0000 2017,They should probably be more upse that the cops are targeting black people for death. https://t.co/6f23DSbpVF,36139751
52,0,15470,957,0,4,0,Thu Apr 23 07:48:38 +0000 2009,3171521318.0,"Triple D, TX",ericd,23674,black people are,black,ericdtx,Sun Sep 24 23:22:13 +0000 2017,@xBriceMc @dan_gitin122 @PureMichiganna @WORLDSTAR You’ve blamed black people for being disproportionately killed a… https://t.co/cze9TyNZP7,34563205
53,0,9,135,1,1,0,Thu Aug 03 15:52:54 +0000 2017,,Gym,GeneralT3,119,black people are,black,GeneralT03,Sun Sep 24 23:21:45 +0000 2017,"People saying @odel 's celebrations are because he's black, wtf? People also blaming Obama. #TrumpIsAWhiteSupremacist",893137607349194752
54,0,123,208,0,0,0,Tue Jun 25 19:05:18 +0000 2013,1546423200.0,"Ohio, USA",SentientSaltPillar🌸,2939,black people are,black,racheymbecker,Sun Sep 24 23:20:33 +0000 2017,I don't give a fuck about the flag when THERE ARE PEOPLE DYING because this country can't figure out that black people are people too.,1546423200
55,0,806,296,0,3,0,Mon Feb 23 18:05:17 +0000 2009,8.434436885713551e+17,"Los Angeles, CA",Health Food Guru,57689,black people are,black,WavyCA,Sun Sep 24 23:20:12 +0000 2017,@p11a42m67e @ajamubaraka @PhilGreaves01 Quit with victimhood bs. People are responsible for their own actions. Blac… https://t.co/WLfrihMyc2,21674914
56,5,2212,4295,0,0,2,Sun Jun 28 19:16:37 +0000 2015,,Brooklyn NY,iam know one 👊🏾✊🏾,17278,black people are,black,Autodidact60,Sun Sep 24 23:20:09 +0000 2017,Whenever we fucking feel like it. Black people are the authors of protest in Amerikkka. Stupid ass question. https://t.co/CeP2F9RLWb,3349645744
57,0,582,1576,0,0,0,Fri Dec 28 18:27:17 +0000 2012,,"Bellingham, WA",Force of Will,10110,black people are,black,ForceofWillTHL,Sun Sep 24 23:19:48 +0000 2017,Please show me where that is required. They are protesting black people being killed by racist cops without remorse. https://t.co/tTOgrWfeAb,1042857277
58,0,55,84,0,3,0,Fri Oct 03 15:54:12 +0000 2014,2839158480.0,"California, USA",Laura LeBlanc,13001,black people are,black,lsleblanc1,Sun Sep 24 23:19:11 +0000 2017,@rrodriguezgirl2 @AustinOnSocial @realDonaldTrump 2/ an Anthem that talks of the free when black people are still s… https://t.co/AGG12hVxFZ,2839158480
59,0,3556,2913,0,3,0,Wed Dec 02 19:14:09 +0000 2009,36199806.0,"Oakland, CA",Jerry,83149,black people are,black,js_edit,Sun Sep 24 23:19:09 +0000 2017,@tomg60 @HowardKurtz @ckchumley That's why you assume black people are criminals and police can do no wrong. You are both fair and balanced.,94154691
60,0,109,205,0,0,0,Mon Oct 03 01:59:20 +0000 2011,,"Bexley, OH",Chip A. Bastard,5100,black people are,black,chip_bastard,Sun Sep 24 23:19:04 +0000 2017,Why are black people so noisy?,384090138
61,1,3,0,1,0,0,Mon Aug 07 00:08:24 +0000 2017,,"Simi Valley, CA",Merica1958,456,black people are,black,Merica1861,Sun Sep 24 23:18:48 +0000 2017,#TakeTheKnee Black guy shoots up a church of white people.  Where is the outcry. Where are the riots? Who can we protest. Double Standard.,894349467645816834
62,1,572,886,0,0,0,Mon Apr 27 04:50:11 +0000 2009,,"Ohio, USA",REV. JR (SKELETON),18350,black people are,black,acce245,Sun Sep 24 23:18:39 +0000 2017,"Judging people on their actions is now racist, apparently.

Why would you think they kneeled because they were blac… https://t.co/x8xZeoFWuN",35674046
63,0,660,459,0,0,0,Mon May 31 21:18:10 +0000 2010,,"Sunrise, FL",Ricardo Harvin,128073,black people are,black,RicardoHarvin,Sun Sep 24 23:18:32 +0000 2017,"It is the systemic, institutional, government imposed brutalization and violence against Black people in which all our other ills are rooted",150404352
64,0,1673,1652,0,0,0,Tue May 26 23:04:07 +0000 2009,,DC,Fatass Kelly Price🍩,122710,black people are,black,SunniDipped,Sun Sep 24 23:18:30 +0000 2017,"White people are really mad because we as Black people want the unjust killings of Black men and women by police to stop. Like, wow.",42749104
65,0,24,109,0,1,0,Tue Aug 22 02:12:48 +0000 2017,8.427451590328279e+17,Allen tx,Kendall Green,191,black people are,black,greenkendall13,Sun Sep 24 23:18:08 +0000 2017,@VivaLaAmesX Are you more upset people were killed or that he's black,899816595299631107
66,0,1259,826,0,0,0,Tue Jul 02 19:42:18 +0000 2013,,"Georgia, USA",ℨ.,56710,black people are,black,abejeee__,Sun Sep 24 23:17:45 +0000 2017,It took everything in me not to clap back. These are the type of people I work with. Mind you her kids are half bla… https://t.co/uhKNLPH0br,1563982885
67,0,5,99,0,3,0,Sun Sep 24 16:12:22 +0000 2017,65497475.0,United States,C,48,black people are,black,superduty4201,Sun Sep 24 23:17:39 +0000 2017,@eugenegu @AustinOnSocial @realDonaldTrump So you are saying only black people are kneeling?  Any action taken that… https://t.co/2PvyqACbV9,911986675512782848
68,1,5171,5025,0,8,0,Fri Jan 27 19:54:08 +0000 2017,337430513.0,California,R&R,58704,black people are,black,RoryGilligan1,Sun Sep 24 23:17:24 +0000 2017,@KingEdwardElam @meshell5683 @douggie64_van @mzgee41 @ReiserWilliam @Lorilulu62 @watchyourspeed @Mexicanpov… https://t.co/BNVSovOKam,825069400524935168
69,6,1789,516,0,0,1,Wed Apr 05 00:09:56 +0000 2017,,"District of Columbia, USA",#PresidentKushner,8621,black people are,black,PrezKushner,Sun Sep 24 23:16:30 +0000 2017,"Nah, he just hates black people and people richer than him. When both those are the same person ... https://t.co/sPC0UcIF1v",849413759353409540
70,0,1036,1301,1,1,0,Mon Jun 08 18:28:53 +0000 2015,8.238777847244431e+17,"Nashville, TN",🇺🇸HoundOfUlster⚔,26769,black people are,black,raiderman108,Sun Sep 24 23:16:19 +0000 2017,@MewHissMew So all the people tweeting #TakeAKnee are black nationalists?,3313625421
71,0,2321,1198,0,0,1,Thu Aug 12 03:04:35 +0000 2010,,"East Flatbush, Brooklyn",Nola Darling🇭🇹🇵🇦,257313,black people are,black,WESTCOASTSUMA,Sun Sep 24 23:15:47 +0000 2017,This is why people say black men are the white people of black people. Shit like this https://t.co/iMvokl4FDm,177427473
72,0,5814,6295,0,1,0,Sun Jun 25 10:12:44 +0000 2017,252305602.0,Tim-Buk-Two,Tom S.,1130,black people are,black,realTomShae,Sun Sep 24 23:15:31 +0000 2017,@pwalia10969 That goes to my point that there is little inequality and primarily Black People are protesting,878918875324207104
73,1,804,501,0,0,0,Wed Jul 28 22:26:52 +0000 2010,,"Compton, CA",BigBallerRay,80018,black people are,black,MamacitaaaRaven,Sun Sep 24 23:14:52 +0000 2017,"It’s really crazy that when black do something there is so much love and support. But when black women do the same thing, people are silent",172098016
74,0,77,27,0,5,0,Fri May 30 21:16:12 +0000 2014,7.74747923728982e+17,"New York, NY",wolfgang green,2946,black people are,black,wolfganggreen1,Sun Sep 24 23:14:28 +0000 2017,@ubuibi7 @FoxNews @POTUS @NFL @GOP Are the Black people who owned slaves racist too? Oh! you didnt know that?  https://t.co/7f1OqyFiPE,2535841482
75,0,686,646,0,0,1,Mon Sep 03 07:29:45 +0000 2012,,mesa az,TRU,9391,black people are,black,truman_tucker4,Sun Sep 24 23:14:13 +0000 2017,Because there are no black people in NASCAR 🤔 https://t.co/nIGoFzi63L,799849634
76,0,6571,7222,0,1,0,Wed Dec 21 19:53:08 +0000 2011,3029257097.0,New Haven Ct,BlkPhilosophersStone,189660,black people are,black,HarmonyEliana,Sun Sep 24 23:13:46 +0000 2017,@WmWallace1911 🤷🏾‍♀️ people need to get over themselves... people are hurting... those black players have made it b… https://t.co/yqhzQ6NXku,443078259
77,3,684,627,0,1,2,Wed Feb 06 04:14:23 +0000 2013,,"somewhere, USA",True American,30409,black people are,black,jwest46568843,Sun Sep 24 23:13:46 +0000 2017,Hey @CNN black man shot up old people in white church in Nashville.When does the 24/7 coverage on hate crime start &amp; when are flags removed?,1152874315
78,1,132,2510,0,0,0,Fri Jul 14 11:46:36 +0000 2017,,"Alabama, USA",SUBHASH NIRANKARI CH,1378,black people are,black,NirankariCh,Sun Sep 24 23:13:26 +0000 2017,🌎 🚀 NIRANKARI NEWS..THERE IS AN OLDSAYING 1000 BLACKS OBAMA'S PEOPLE ARE EQUAL2ONE REPUBLICANS BLACK PERSON CAUSE T… https://t.co/Y2tU98Bwbf,885827869171167233
79,11,108,1392,0,1,0,Tue Sep 27 15:09:08 +0000 2016,14515799.0,"Missouri, USA",Amadis Kay,1216,black people are,black,TheAmadisKay,Sun Sep 24 23:11:46 +0000 2017,"@brianstelter Twitter has a character limit. He meant to add ""unless they are black or brown people.""",780786355706015744
80,2,40,236,0,1,0,Sat Aug 26 00:51:54 +0000 2017,2467791.0,United States,Manny the Manatee,400,black people are,black,manny_manatee2,Sun Sep 24 23:11:45 +0000 2017,"@washingtonpost Hahaha hahaha Yeah that's why Arpaio deserved a pardon, why some Nazis are fine people, but black g… https://t.co/6Dx3hr6Ohm",901245787408965632
81,0,353,841,0,0,0,Wed Jul 02 20:59:54 +0000 2014,,"Detroit, MI",425🔮,6894,black people are,black,BitcoinsGambler,Sun Sep 24 23:11:28 +0000 2017,"the only real racist people or prejudiced people are ones that shout out ""fuck you black guy"" or ""fuck you white kid"" in front of masses",2600458040
82,0,814,417,0,1,0,Mon Jun 17 14:17:36 +0000 2013,8.643429945932636e+17,"3rd Ward, Texas",Ant #PoloZo Crew,79762,black people are,black,CleatEliteAnfro,Sun Sep 24 23:11:16 +0000 2017,@Abellonia38 And likely will do the same. There are Black people who play college football currently.,1524942210
83,1,129,417,0,4,0,Fri Feb 06 15:42:10 +0000 2009,2670596544.0,"Boulder, CO",The Wildflower Seed,578,black people are,black,WildFlowerSeed_,Sun Sep 24 23:11:06 +0000 2017,@BasedPatriot14 @amandadasaro @Corrynmb @realDonaldTrump Police killing unarmed citizens is abhorrent. It is also a… https://t.co/ZllxrV8d8y,20245336
84,0,126,213,0,0,0,Tue Oct 18 17:24:58 +0000 2016,,"Oregon, USA",Doognivil67🙈🙉🙊,4585,black people are,black,Doognivil67,Sun Sep 24 23:10:51 +0000 2017,You ran a football team into the ground. Spend your time dogging white supremists. NFL owners are above you. Why do… https://t.co/HQ0UY3tZKP,788430684628983808
85,2,42,558,0,1,0,Thu Nov 17 16:47:48 +0000 2016,47451496.0,Boston,Cohl Fynch,239,black people are,black,cohlFynch,Sun Sep 24 23:10:18 +0000 2017,@jesseberney There are zero black people on that team,799292969492824064
86,0,88,297,0,1,0,Thu Jul 22 21:43:07 +0000 2010,7.90760019063083e+17,LA,Cali made,2841,black people are,black,californa909,Sun Sep 24 23:09:38 +0000 2017,@iamkittycaprice are u racist against black people?,169661233
87,2,3664,4555,1,0,0,Wed Dec 11 05:46:45 +0000 2013,,United States,American RESISTANCE,14432,black people are,black,KeepLadyWarm,Sun Sep 24 23:09:28 +0000 2017,"Black football players protest are ""sons of bitches""
White Supremacists who murdered #HeatherHeyer ""very fine peopl… https://t.co/k9QZy5js6h",2240258598
88,0,1033,1048,0,1,0,Thu Jul 23 17:19:33 +0000 2015,18823758.0,,SlimJim,85840,black people are,black,SlimJim2123,Sun Sep 24 23:09:13 +0000 2017,"@BSO Who’s surprised by this, it’s obvious when its time to put up or shut up, black people are all we got!",3389604502
89,0,4294,1899,0,1,0,Tue Mar 17 21:28:54 +0000 2009,16163639.0,"Chicago, IL",Vincent Anzalone,6621,black people are,black,MrVinceAnz,Sun Sep 24 23:09:02 +0000 2017,@NolteNC People are born gay just like they’re born black. So tell my why it’s ok.,24958798
90,1,3664,4555,1,0,1,Wed Dec 11 05:46:45 +0000 2013,,United States,American RESISTANCE,14432,black people are,black,KeepLadyWarm,Sun Sep 24 23:08:56 +0000 2017,"Black football players protest are ""sons of bitches""
White Supremacists who murdered #HeatherHeyer ""very fine peopl… https://t.co/ctuZnFvuOq",2240258598
91,1,145,266,0,2,0,Fri Apr 04 20:01:21 +0000 2014,106294520.0,New England,BetterInBoston,5789,black people are,black,BetterInBoston,Sun Sep 24 23:08:31 +0000 2017,@LacunaInc369 @sangriacwine More white people are killed by police than black people killed by police,2427780402
