# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,Classification
0,851,1046,0,1,0,Sun Aug 20 01:13:14 +0000 2017,998979319.0,"Georgia, USA",Jamie,6199,coon,black,Jamie46764544,Tue Sep 26 13:45:54 +0000 2017,@KingSpearChuckr Calling a black man a coon is racist,899076825539907584,Hate speech
0,917,1376,0,0,0,Thu Aug 14 21:55:28 +0000 2014,,"New York, USA",171,10095,coon,black,jaycrossxx,Tue Sep 26 13:45:34 +0000 2017,Tell this bald headed coon to pay his fucking taxes https://t.co/nY52H3kjLz,2732938470,Hate speech
0,264,229,0,3,0,Fri Apr 19 21:51:20 +0000 2013,384473376.0,"Atlanta, GA",JC Rocker,3498,coon,black,MissJCRocker1,Tue Sep 26 13:39:18 +0000 2017,"@K100_RADIO @raylewis @raylewis You can't sit with us. Be a coon, stay a coon",1365487447,Hate speech
0,415,290,0,0,0,Wed Jan 05 00:37:04 +0000 2011,,Louisiana,christie,25957,coon,black,trillserita,Tue Sep 26 13:34:37 +0000 2017,"wow, this coon mentality I simply can’t deal with. https://t.co/rschqmKWSs",234170194,Hate speech
0,895,458,0,1,0,Sat Mar 21 18:57:56 +0000 2009,303218419.0,Citadel,Pretty Boy Floyd,113833,coon,black,davyhive,Tue Sep 26 13:31:13 +0000 2017,@ThinkImScottiee U coon let me see your wcw,25711892,Hate speech
1,38,97,0,0,0,Fri Jun 24 13:31:57 +0000 2016,,Syria,DizzETHAN,822,coon,black,HairyMouseTurd,Tue Sep 26 13:28:51 +0000 2017,"""I hate the word 'coon' bcuz it implies that there's a correct way to be black! Also, that male feminist is SUCH a cuck!""",746335051709845504,Hate speech
0,682,1903,0,0,0,Mon Mar 19 20:34:45 +0000 2012,,West Palm Beach ,Truth Seeker,56080,coon,black,xfilestrustno1,Tue Sep 26 13:20:24 +0000 2017,"Fuck Trump! the NFL, it's owners and their $40 million dollar coon slaves. https://t.co/wKDMQFYALj",529705715,Hate speech
0,813,2311,0,1,0,Sun Apr 19 06:31:42 +0000 2009,32323274.0,bronx ny,Black Own Radio,21216,coon,black,BLACKOWNRADIO,Tue Sep 26 13:00:10 +0000 2017,@sistadbarnes homosexuality is the new black genocide coon obama broke the willie lynch curse and rewrote it in the… https://t.co/wlO11bIvEs,33149639,Hate speech
0,42,17,0,0,0,Fri Mar 31 15:13:44 +0000 2017,,"Leander, TX",Robert Finley,133,coon,black,Robert_L_Finley,Tue Sep 26 12:52:21 +0000 2017,So in South Park cartman can call himself “the coon” but when I do and I am in blackface I get the shit beat out of me,847829267195023360,Hate speech
0,607,656,0,1,1,Sun Jan 02 16:37:58 +0000 2011,240302480.0,"Norfolk, VA ",Muten-Rōshi,117963,coon,black,MAliLeonard,Tue Sep 26 12:48:39 +0000 2017,@_Bo_Knows Nope. He’s a coon,233212710,Hate speech
0,282,288,0,0,0,Mon Jun 17 23:37:14 +0000 2013,,"Houston, TX",09:27,16110,coon,black,rokkherbody,Tue Sep 26 12:43:21 +0000 2017,Bro if you play in the NFL and you ain’t took a knee yet you’re a coon 🤷🏾‍♂️,1526193074,Hate speech
0,140,721,0,2,0,Thu Apr 29 23:26:50 +0000 2010,17878322.0,Brooklyn,King Jafree,4097,coon,black,jayoplantern,Tue Sep 26 12:41:14 +0000 2017,@cthagod @breakfastclubam Ray Rice coon ass!!!,138577554,Hate speech
0,1515,1601,0,0,0,Thu Jan 06 21:28:06 +0000 2011,,"Essex County, NJ",Bunchy Carter,72197,coon,black,KwabenaSharif,Tue Sep 26 12:41:08 +0000 2017,Anyone see that vid where that giant white lady punted the black man’s groceries &amp; called him a nigger? He reacted &amp; a super coon stole him?,234903659,Hate speech
0,1644,865,0,0,0,Sat Jun 29 01:01:38 +0000 2013,,Jamaica,Menen I,6641,coon,black,soulandmelanin,Tue Sep 26 12:38:49 +0000 2017,Y'all look at this coon https://t.co/YDVNghWREY,1554375342,Hate speech
0,351,297,0,0,0,Fri Dec 02 14:34:21 +0000 2016,,"Dallas, TX",YesJulz,2657,coon,black,M0R3Lyfe,Tue Sep 26 12:28:56 +0000 2017,What's up with these coon ass minorities supporting Trump? Lmfao,804695202590027776,Hate speech
0,395,539,0,0,0,Tue Sep 13 03:03:52 +0000 2011,,"Bridgeport, OH",virgo.highness👁,15659,coon,black,T0nii_m0ntana,Tue Sep 26 12:28:42 +0000 2017,Idk who I hate more dumb white people or coon ass black people they one in the same for real.,372617375,Hate speech
0,3766,465,0,1,0,Wed Aug 07 17:03:23 +0000 2013,759251.0,"Fredericksburg Virginia, USA",Stephon Jackson,148230,coon,black,Sttephy,Tue Sep 26 12:18:21 +0000 2017,@CNN He is such a coon.,1653419318,Hate speech
6,1724,343,0,0,0,Sat Feb 28 14:12:40 +0000 2009,,Harlem,Piernas De Bailarina,79213,coon,black,Sanniel,Tue Sep 26 12:04:18 +0000 2017,Grateful to be a witness to the evolution of Don Lemon from coon to actual journalist and cohesive human. https://t.co/EwLUQoL3bR,22257949,Hate speech
0,654,361,0,0,0,Wed May 20 05:58:16 +0000 2009,,"Washington, DC",DRE 😎,50975,coon,black,4WingsAndRice,Tue Sep 26 11:55:13 +0000 2017,Every player on the cowboys roster is a “coon”,41306824,Hate speech
0,12,205,0,1,0,Sat Nov 21 05:28:01 +0000 2015,1041346340.0,"Louisville, KY",Erin,171,coon,black,thislittlefrog,Tue Sep 26 11:47:17 +0000 2017,"@EmrgencyKittens Funny, I call my maine coon Mr. Fluffy Pants.  Lol",4239925462,Hate speech
0,131,149,0,1,0,Sat Feb 18 13:31:28 +0000 2017,2777113379.0,Detroit,Raj 〽️,458,coon,black,jxxkyfluff,Tue Sep 26 11:36:46 +0000 2017,@Avery_Eursher13 That was some really coon shit to say to this little white girl,832945630293192704,Hate speech
0,1410,1345,0,2,0,Sun Jan 10 16:35:33 +0000 2016,7.113071761286103e+17,United States,I'm Covfefe,17927,coon,black,ChetPorter1,Tue Sep 26 11:36:38 +0000 2017,@ChoctawElvis88 @Rustytigerpoo1 what about coon? Some ol boy from Kansas told me he eats raccoon.,4739157457,Hate speech
1,85,245,0,1,0,Thu Jun 25 10:56:50 +0000 2009,1967710746.0,dover,Jefferson J. Johnson,2059,coon,black,jjscissorhands,Tue Sep 26 11:28:26 +0000 2017,@jermainedesign Whenever I get any affirmation of being black it's usually in midst of being called a coon ...so ye… https://t.co/g7iko5fXeh,50614260,Hate speech
0,21,106,0,1,0,Sun Oct 04 17:47:15 +0000 2015,16116288.0,"Cleveland, OH",Virgo Voodoo,242,coon,black,virgovoodoo216,Tue Sep 26 11:26:38 +0000 2017,"@rolandsmartin  ms. Bernadette is on that mess..I thought I heard her call someone a ""coon"" during her rant. Smh triggered much??!??",3863696247,Hate speech
0,536,2413,0,0,0,Sat Apr 18 04:11:19 +0000 2009,,DuVaL CoUnTY,jaysinstrizzy ✊🏿,24107,coon,black,Mr904,Tue Sep 26 11:18:28 +0000 2017,Check this Nigerian coon https://t.co/OFLgt5SaLl,32776830,Hate speech
1,399,92,0,1,0,Mon Aug 07 02:37:56 +0000 2017,7.434751470891827e+17,United States,shiv,81,coon,black,xshivv,Tue Sep 26 11:03:43 +0000 2017,"@PonceGraphics ayyy happy birthday Ponce, may you always be a clout coon",894387102422634496,Hate speech
0,647,638,0,0,0,Fri May 27 17:47:21 +0000 2016,,"Hampton, VA",Julian,19411,coon,black,ChopgodDaSnail,Tue Sep 26 10:59:11 +0000 2017,I need to watch all my coon shows I'm behind.,736252466275221504,Hate speech
0,1209,400,0,1,0,Sun Jan 09 06:44:49 +0000 2011,310914135.0,"Houston, TX",Trap Doll Kay,60975,coon,black,KaylaCoatedKiss,Tue Sep 26 10:36:55 +0000 2017,@704Branden Lmao in the locker room NOT making a statement. Y’all trash. Anyyyyyywhooom fuck yo team and ya coon ass QB 😭,235855533,Hate speech
1,551,319,0,0,0,Fri Feb 19 13:32:58 +0000 2010,,Neo Yokio,Aomine Daiki,109718,coon,black,OLVOXO,Tue Sep 26 10:18:12 +0000 2017,Don no longer a coon? https://t.co/ckHo5aCaWb,115663962,Hate speech
0,178,250,0,1,0,Thu Jan 22 20:12:37 +0000 2015,759251.0,"Atlanta, GA",Trap Nigga,536,coon,black,OscarYankz,Tue Sep 26 09:48:24 +0000 2017,@CNN MJ a fuckin coon,2992890281,Hate speech
0,66,97,0,3,0,Mon Mar 27 16:37:35 +0000 2017,3027738548.0,United States,ODD: Age Of Hero,14217,coon,black,OddTheManga,Tue Sep 26 09:43:07 +0000 2017,@wesleydevin54 @GreenwoodAce @eugenegu Ray is a coon,846400819721388033,Hate speech
0,419,2486,0,1,0,Sat Nov 24 03:21:01 +0000 2012,8.208081969566556e+17,"wyoming ,mi.",Mr. Don M Nixon sr.,4486,coon,black,donnixonboonie,Tue Sep 26 09:04:55 +0000 2017,@Bobby_Axelrod2k You a coon,967269174,Hate speech
0,119,442,0,1,0,Tue Mar 06 18:12:05 +0000 2012,21728396.0,Scotland,Gary S,3279,coon,black,Gary_S_86,Tue Sep 26 08:38:20 +0000 2017,"@BrittanyFurlan Seeing that snapchat feed Filters &amp; Tommy lee oot for tha coon, Oh shit....The tears are streaming 😂😂😂😂",516743484,Hate speech
0,654,164,0,0,0,Tue May 19 19:40:50 +0000 2009,,Las Vegas,Ramone Cooper,29149,coon,black,T1NK11,Tue Sep 26 08:31:27 +0000 2017,Still not fucking with Jerry Jones &amp; the Cowboys or Ray Lewis coon ass,41191250,Hate speech
0,355,264,0,2,0,Thu Mar 01 05:49:34 +0000 2012,3304549574.0,"New Orleans, LA",Mike ⚜️,6880,coon,black,lower9mike,Tue Sep 26 07:48:32 +0000 2017,@2_KO1D @marab__ Shut up coon skin,509775788,Hate speech
0,161,659,0,3,0,Thu Mar 25 15:25:34 +0000 2010,547412622.0,"Los Angeles, CA",Tina M Key,470,coon,black,610key,Tue Sep 26 07:14:57 +0000 2017,"@mobounce40 @gurblegooch666 @itsgabrielleu It is always about knowing our place in their eyes.
We must jig, jive and coon to their favor.",126345799,Hate speech
2,1156,802,0,1,0,Sat Mar 09 03:12:23 +0000 2013,21252649.0,"Los Angeles, CA",Heem,12242,coon,black,kahigadelian,Tue Sep 26 07:11:23 +0000 2017,@aaronkkai This guy a full blown coon,1253280925,Hate speech
1,1287,126,0,0,0,Sun Jan 08 20:26:48 +0000 2017,,Caleb👻,dms closed. april,46831,coon,black,zoekravitzxo,Tue Sep 26 07:05:40 +0000 2017,zam calling me a coon i-,818192251822211072,Hate speech
0,189,48,0,2,0,Thu Jul 27 20:38:43 +0000 2017,8.181922518222111e+17,ana ,zam,3955,coon,black,voguechantel,Tue Sep 26 06:54:57 +0000 2017,"@zoekravitzxo @irisohare A black coon was like ""SO ELENA LIKES BLACK PEOPLE"" * insert celebratory gif*",890672820778180608,Hate speech
0,453,2328,0,2,0,Sun May 15 17:32:06 +0000 2011,241666780.0,"Los Angeles, CA",KnoMore,10437,coon,black,KnoMore,Tue Sep 26 06:47:46 +0000 2017,"@RachelHeine @DanCasey The Maine coon, obviously.
Maine Coon https://t.co/OONWVSezqE",299198563,Hate speech
0,1649,1313,0,0,0,Fri Oct 16 08:02:26 +0000 2009,,"Chicago, IL",Diana Prince,112089,coon,black,StephanieBengal,Tue Sep 26 06:25:19 +0000 2017,Locking arms...coon shit.,82828391,Hate speech
0,944,671,0,0,0,Mon Aug 27 19:48:20 +0000 2012,,"New York, NY",amaryllis,30603,coon,black,fvckalicia,Tue Sep 26 06:22:35 +0000 2017,michael Jordan is lowkey a coon,785351108,Hate speech
0,1251,916,0,0,0,Wed Jul 11 18:51:35 +0000 2012,,PaperRoute ❗️,Tee 💸🐺💫,14618,coon,black,Sportschamp1,Tue Sep 26 06:20:00 +0000 2017,I can't stand a coon,633209250,Hate speech
0,132,134,1,0,1,Fri Jun 24 00:33:42 +0000 2011,,Atlanta Ga ,Willie Beamen,5242,coon,black,WILLIEBEAMEN_,Tue Sep 26 06:18:44 +0000 2017,After Ray Lewis was caught up in that Buckhead shit he been a coon and not to mention he fucked up Atlanta night life #ThanksRay,322943062,Hate speech
0,86,292,0,2,0,Sun Mar 19 22:44:08 +0000 2017,35773039.0,"Mountain View, OK",Mica,388,coon,black,micarose629,Tue Sep 26 06:12:33 +0000 2017,@TheAtlantic @edyong209 we bouta find out if spencer from iCarly was lying about the beave-coon,843593963051388928,Hate speech
0,1416,702,0,0,0,Fri Dec 03 02:46:25 +0000 2010,,"Cecilia, LA",RyanDee,124640,coon,black,Ry_dizzzle,Tue Sep 26 06:11:47 +0000 2017,Furg keep asking bout coon. He said he's worried about his not,222326032,Hate speech
0,712,1492,0,1,0,Fri Jan 04 23:57:49 +0000 2013,2471631032.0,"Vancouver, WA",Calvinist Atlantean,71028,coon,black,CameronJKiesser,Tue Sep 26 06:07:45 +0000 2017,"@lilDracco Sellout nigga.

You sucking White man's cock, coon. XD",1061731717,Hate speech
0,203,451,0,2,0,Sat Apr 19 15:45:08 +0000 2014,47293791.0,"Phoenix, Arizona USA",Karye perez,1626,coon,black,greenii78,Tue Sep 26 06:07:23 +0000 2017,@w_terrence @TalbertSwan What's a coon?,2453347778,Hate speech
0,135,135,0,1,0,Tue May 24 06:33:25 +0000 2016,25226989.0,"Alabama, USA",Neil,2354,coon,black,Neil198099,Tue Sep 26 06:06:00 +0000 2017,@DerrickT4 Yes because every black person who doesn't share your opinion is a coon? Prejudice much? Such a hypocrite!,734995701227196416,Hate speech
0,871,342,1,0,0,Wed Aug 19 01:43:13 +0000 2009,,In My Lane,Jan. 2018,225487,coon,black,ImMacknificent,Tue Sep 26 05:56:17 +0000 2017,I just Milly rocked like a coon bc I wanna go shopping tomorrow. LMAO! #Clutch,66872162,Hate speech
0,48,135,0,0,0,Fri Mar 11 00:16:22 +0000 2016,,"Los Angeles, CA",Hani,635,coon,black,aawkwardsmiles,Tue Sep 26 05:53:43 +0000 2017,"this is the most house nigga, uncle ruckus, coon head assery statement if i ever saw one https://t.co/WYYPwfVaTB",708084112569999360,Hate speech
0,742,534,0,0,0,Tue Dec 22 07:23:44 +0000 2015,,"Memphis, TN",🅱️oss🅿️laya,21336,coon,black,flyazzcaddy,Tue Sep 26 05:47:18 +0000 2017,"Y’all niggas look a damn coon ass fool with these grills in y’all mouth, ion care how flawless the diamonds are. You look mentally flawed.",4565320701,Hate speech
0,34,126,0,1,0,Sun Jun 19 12:24:20 +0000 2016,380020286.0,"California, USA",Robert,40,coon,black,Robertbmx_831,Tue Sep 26 05:46:36 +0000 2017,@VanossGaming Bat coon,744506096774086656,Hate speech
3,530,260,0,0,1,Tue Aug 05 00:16:11 +0000 2014,,"Toronto, Ontario",DEAD FOR THE DICK,8508,coon,black,sydanieee,Tue Sep 26 05:46:32 +0000 2017,"slap my mom for that dick. ill be a coon, an uncle tom for that dick",2707784462,Hate speech
0,252,192,0,1,0,Wed Dec 31 00:09:14 +0000 2014,299411410.0,"Inglewood, CA ",TM1tchy‼️,28752,coon,black,Tm1tchy,Tue Sep 26 05:44:31 +0000 2017,@YaboyCb6 Ray the definition of a coon I swear,2952757902,Hate speech
2,20,32,0,2,0,Thu Aug 03 19:21:45 +0000 2017,16948493.0,"Chicago, IL",Akhyaar,330,coon,black,AkhyaarSaid,Tue Sep 26 05:38:15 +0000 2017,@tariqnasheed @WORLDSTAR 'He was the top of the coon world' ... but he couldn't hold on lol .,893190168227831809,Hate speech
0,52,475,5,0,1,Fri Mar 21 00:15:37 +0000 2014,,Earth ,Jay  Jones,551,coon,black,JayJones07065,Tue Sep 26 05:30:07 +0000 2017,Who gives a fluck about what coon ass Michael Jordan has to say....#TakeAKnee #justice #equality #liberty #JusticeForAll,2425811176,Hate speech
0,1270,1836,0,1,0,Fri Jan 20 00:22:11 +0000 2012,118845216.0,NOLA  ✈️ H-Tine ,CAPO,67404,coon,black,CoreyLou_,Tue Sep 26 05:29:21 +0000 2017,@SheriffClarke wazzam you coon? Lame ass peon ass duck ass la boy,468863012,Hate speech
0,636,654,0,0,1,Thu Sep 15 01:06:02 +0000 2011,,"Wichita, KS",Jae ( not J ) 🤘🏾,36504,coon,black,xThe_JaeMoney,Tue Sep 26 05:17:57 +0000 2017,"THIS WAS BEAUTIFUL. If you kneeling now but wouldnt do shit when it was Kaep idgaf you a coon, you a uncle tom, &amp; s… https://t.co/VJdnVDRURu",373676078,Hate speech
0,488,293,0,0,0,Mon Apr 13 00:21:24 +0000 2009,,"Los Angeles, CA",Playable Character,15242,coon,black,CrushBoySlay,Tue Sep 26 05:17:51 +0000 2017,Michael Jordan still a coon… but I mean… cool speech ?,30758495,Hate speech
0,519,638,0,0,0,Wed Apr 29 14:01:25 +0000 2009,,NY ✈ NC ,Ari,22311,coon,black,teaandtrapmusic,Tue Sep 26 05:17:06 +0000 2017,I’m still shocked he’s a coon https://t.co/gthSteO8XO,36363371,Hate speech
0,1459,848,0,0,0,Sun Dec 25 16:41:53 +0000 2011,,"Atlanta, GA",MNK,109682,coon,black,remaztheog,Tue Sep 26 05:16:26 +0000 2017,You coon https://t.co/bnBnfCmxNe,446362905,Hate speech
3,755,300,0,1,0,Sun Mar 12 18:34:03 +0000 2017,572162573.0,Great State of Texas,Kénny G ☝️,4422,coon,black,THE_kenny_siler,Tue Sep 26 04:57:12 +0000 2017,"@QuartOfMillion It's alright, most of the time my ""coon statistics"" aren't good enough either. 

just know you aren't wrong 👍",840994311277699072,Hate speech
0,9924,1479,0,0,0,Wed Apr 01 22:47:16 +0000 2009,,Jupiter,IG: King_Saladean,103092,coon,black,King_Saladean,Tue Sep 26 04:52:45 +0000 2017,Definition of a coon https://t.co/anoQOheCad,28217494,Hate speech
0,48,244,0,1,0,Fri Dec 30 05:29:02 +0000 2016,7.570566930584781e+17,Philly ,1215999999,763,coon,black,leekylive,Tue Sep 26 04:52:27 +0000 2017,@JasiriJabara Yes there from the coon family,814704827716358145,Hate speech
