Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score,Racist (Y/N),State Abbreviation,Valid City Data (Y/N)
1854,0.0,2.0,11.0,0.0,1.0,0.0,Wed Sep 20 17:26:11 +0000 2017,3805409427.0,Essex,Joe,13.0,yid,jews,Whl243,Sun Sep 24 13:24:04 +0000 2017,@AcaTheMonk Im waiting on more info. It's from a yid who mates saw it...,9.105557034331872e+17,Hate speech,0.0,,,
1856,0.0,3488.0,1877.0,0.0,1.0,0.0,Sun Mar 03 15:01:56 +0000 2013,7.521571111744553e+17,Hampshire,Rob W,29389.0,yid,jews,_JayBrown_,Sun Sep 24 09:58:13 +0000 2017,@TheKouyateKid but he is a yid ??,1239120901.0,Hate speech,0.0,,,
1858,1.0,1112.0,2975.0,0.0,2.0,0.0,Thu Jul 06 08:34:20 +0000 2017,2150865074.0,south,greg doyle,4818.0,yid,jews,reg_geloyd,Sat Sep 23 18:41:57 +0000 2017,@goodyhammer1 @westham_mo add yid to the start of that statement.,8.828803781676032e+17,Hate speech,0.0,,,
1861,1.0,621.0,1025.0,0.0,0.0,0.0,Tue Jul 03 14:49:25 +0000 2012,,Essex,Reevesy,36687.0,yid,jews,DavidTReeves,Sat Sep 23 15:44:09 +0000 2017,So Chelsea fans take out yid from the Morata chant but still have to mention spurs? Why? We sound like a stalky ex obsessed. So sad.,625611974.0,Hate speech,-0.5789,,,
1865,0.0,178.0,431.0,0.0,10.0,0.0,Fri Sep 15 15:54:57 +0000 2017,390874028.0,Essex,SID THE YID,56.0,yid,jews,SIDTHEYid1,Sat Sep 23 14:00:54 +0000 2017,@mank56 @SID_THE_YID @hummelspur @OsborneGeraint @paulyid @Pedromull @Winstheyid @craigalmondyido @DEECOS69 @rudeboyspurs 3 points,9.087208036671612e+17,Hate speech,0.0,,,
1867,2.0,3632.0,2136.0,0.0,9.0,0.0,Wed Aug 31 15:35:36 +0000 2011,569100791.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:48:32 +0000 2017,@OnetrueSpur @Simmo198133 @yidettettid @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID 8pm then mate,365517799.0,Hate speech,0.0,,,
1868,2.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,4850658923.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:32:53 +0000 2017,@Stu_The_Yid @yidettettid @Simmo198133 @1964suebar @rafatjah @PhilYiddo @YIDNATION @YOUNEEK_YID Next time ill using no more nails ..ffs,365517799.0,Hate speech,-0.6124,,,
1869,2.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,4850658923.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:29:40 +0000 2017,@Stu_The_Yid @yidettettid @Simmo198133 @1964suebar @rafatjah @PhilYiddo @YIDNATION @YOUNEEK_YID U out of your coffin stu,365517799.0,Hate speech,0.0,,,
1871,2.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,8.841517800530452e+17,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:27:06 +0000 2017,@yidettettid @Simmo198133 @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID Have plenty of them… https://t.co/5PEnnisVnZ,365517799.0,Hate speech,0.0,,,
1872,3.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,8.841517800530452e+17,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:25:33 +0000 2017,@yidettettid @Simmo198133 @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID U nicking my u tube yids mrs,365517799.0,Hate speech,0.0,,,
1874,3.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,8.841517800530452e+17,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:21:12 +0000 2017,@yidettettid @Simmo198133 @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID Nearly done ..saving the black puds til last,365517799.0,Hate speech,0.0,,,
1875,2.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,8.841517800530452e+17,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:20:16 +0000 2017,@yidettettid @Simmo198133 @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID As a starter,365517799.0,Hate speech,0.0,,,
1877,3.0,3632.0,2136.0,0.0,9.0,0.0,Wed Aug 31 15:35:36 +0000 2011,569100791.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:19:27 +0000 2017,@OnetrueSpur @Simmo198133 @yidettettid @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID 4 ish jeff,365517799.0,Hate speech,0.0,,,
1878,3.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,8.841517800530452e+17,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:18:13 +0000 2017,@yidettettid @Simmo198133 @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID 17 plus 38 pieces of british bacon ..yum yum,365517799.0,Hate speech,0.0,,,
1879,2.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,1550419662.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:16:46 +0000 2017,@Simmo198133 @yidettettid @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID 4 sausags left ????,365517799.0,Hate speech,0.0,,,
1880,3.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,3067998633.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:16:23 +0000 2017,@1964suebar @yidettettid @Simmo198133 @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID Nothing else will d… https://t.co/miHFv5Ddbi,365517799.0,Hate speech,0.0,,,
1881,3.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,1550419662.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:15:10 +0000 2017,@Simmo198133 @yidettettid @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID Trying to get throu… https://t.co/Elk3v9LP2r,365517799.0,Hate speech,0.0,,,
1882,4.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,1550419662.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:11:49 +0000 2017,@Simmo198133 @yidettettid @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID Morning bro ..????????,365517799.0,Hate speech,0.0,,,
1883,4.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,8.841517800530452e+17,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Sat Sep 23 10:11:32 +0000 2017,@yidettettid @Simmo198133 @1964suebar @rafatjah @PhilYiddo @YIDNATION @Stu_The_Yid @YOUNEEK_YID Sideways ????,365517799.0,Hate speech,0.0,,,
1884,1.0,178.0,431.0,0.0,9.0,0.0,Fri Sep 15 15:54:57 +0000 2017,429800764.0,Essex,SID THE YID,56.0,yid,jews,SIDTHEYid1,Sat Sep 23 07:47:11 +0000 2017,@hummelspur @SID_THE_YID @mank56 @OsborneGeraint @paulyid @Pedromull @Winstheyid @craigalmondyido @DEECOS69… https://t.co/omEcXAZjWU,9.087208036671612e+17,Hate speech,0.0,,,
1885,1.0,178.0,431.0,0.0,9.0,0.0,Fri Sep 15 15:54:57 +0000 2017,416921825.0,Essex,SID THE YID,56.0,yid,jews,SIDTHEYid1,Sat Sep 23 07:06:25 +0000 2017,@SID_THE_YID @mank56 @Pedromull @OsborneGeraint @Winstheyid @craigalmondyido @DEECOS69 @hummelspur @rudeboyspurs… https://t.co/0wVJPQfOhg,9.087208036671612e+17,Hate speech,0.0,,,
1886,0.0,7.0,76.0,0.0,2.0,0.0,Sat Apr 14 17:15:46 +0000 2012,14573900.0,Essex,RICHARD SHAW,131.0,yid,jews,imFUCKINGevil,Sat Sep 23 03:22:01 +0000 2017,"@ManCity @benmendy23 walker is our shit cheating yid now , still , not entitled to touch our niggas yet",553772883.0,Hate speech,-0.8863,,,
1888,0.0,276.0,171.0,0.0,5.0,0.0,Sun Feb 16 21:00:38 +0000 2014,428445221.0,Kent,Markyk,8760.0,yid,jews,mkdecs81,Fri Sep 22 19:54:23 +0000 2017,@craigalmondyido @YOUNEEK_YID @rickyyiddo3 @Pipey78 @TEAM_BAHAB Load of Rylan wannabe cunts,2347527843.0,Hate speech,-0.5994,,,
1889,0.0,526.0,521.0,0.0,5.0,0.0,Wed Aug 25 22:49:09 +0000 2010,22064592.0,"Annandale, NJ",Chip Hughes,42659.0,yid,jews,SussexNY,Fri Sep 22 10:35:08 +0000 2017,@Aftermath8 @DJCharlieBlac @javycane @BigOShow @JasonLaCanfora nobody watches that yid team in north london outside the immediate area...,183003109.0,Hate speech,0.0,,,
1893,0.0,3632.0,2136.0,0.0,9.0,0.0,Wed Aug 31 15:35:36 +0000 2011,416921825.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Thu Sep 21 15:45:43 +0000 2017,@SID_THE_YID @mank56 @Pedromull @OsborneGeraint @Winstheyid @craigalmondyido @DEECOS69 @hummelspur @paulyid… https://t.co/d7GAb0lcWp,365517799.0,Hate speech,0.0,,,
1896,0.0,178.0,431.0,0.0,9.0,0.0,Fri Sep 15 15:54:57 +0000 2017,416921825.0,Essex,SID THE YID,56.0,yid,jews,SIDTHEYid1,Thu Sep 21 15:41:09 +0000 2017,@SID_THE_YID @mank56 @Pedromull @OsborneGeraint @Winstheyid @craigalmondyido @DEECOS69 @hummelspur @rudeboyspurs… https://t.co/CO1G1dLX3c,9.087208036671612e+17,Hate speech,0.0,,,
1898,1.0,264.0,277.0,0.0,0.0,0.0,Wed Apr 24 18:33:44 +0000 2013,,Essex,mac,12041.0,yid,jews,M_Maccers,Thu Sep 21 06:52:46 +0000 2017,Typical yid. All mouth no trousers https://t.co/DTbaNF7557,1377714836.0,Hate speech,-0.29600000000000004,,,
1899,1.0,652.0,800.0,0.0,0.0,1.0,Fri Feb 25 05:53:13 +0000 2011,,"Columbus, OH",David West ?,9967.0,yid,jews,MetsWest,Wed Sep 20 22:21:58 +0000 2017,Shana Tova to all my yid followers. I'll be offline until Saturday night ???,257335866.0,Hate speech,-0.128,,,
1900,1.0,226.0,239.0,0.0,1.0,0.0,Mon Jan 24 10:08:34 +0000 2011,342580281.0,surrey,chelsea andy,871.0,yid,jews,celerycelerycfc,Wed Sep 20 22:00:20 +0000 2017,@thomasedensmith Was he a yid ?,242255287.0,Hate speech,0.0,,,
1901,3.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,1573272175.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:57:35 +0000 2017,@comeonaspur @Simmo198133 @thfcire @Robtheyid69 @carys1112 @rickyyiddo3 @YOUNEEK_YID @andykenny77 Fook it  .the whole wig is yrs ..,365517799.0,Hate speech,0.0,,,
1902,2.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,1573272175.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:55:19 +0000 2017,@comeonaspur @Simmo198133 @thfcire @Robtheyid69 @carys1112 @rickyyiddo3 @YOUNEEK_YID @andykenny77 Ur aving one lock… https://t.co/Q3Os6cPeFd,365517799.0,Hate speech,0.0,,,
1904,2.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,1573272175.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:50:33 +0000 2017,@comeonaspur @Simmo198133 @thfcire @Robtheyid69 @carys1112 @rickyyiddo3 @YOUNEEK_YID @andykenny77 Tall order i know… https://t.co/9SgM682Mwq,365517799.0,Hate speech,0.0,,,
1906,2.0,3632.0,2136.0,0.0,7.0,0.0,Wed Aug 31 15:35:36 +0000 2011,4808572713.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:47:32 +0000 2017,@carys1112 @andykenny77 @Simmo198133 @Robtheyid69 @rickyyiddo3 @YOUNEEK_YID @thfcire ????..starship enterpope xx,365517799.0,Hate speech,0.0,,,
1907,3.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,1573272175.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:47:03 +0000 2017,@comeonaspur @Simmo198133 @thfcire @Robtheyid69 @carys1112 @rickyyiddo3 @YOUNEEK_YID @andykenny77 Of course ..no to… https://t.co/Q2YhTOahFJ,365517799.0,Hate speech,0.0,,,
1909,2.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,1573272175.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:37:19 +0000 2017,@comeonaspur @Simmo198133 @thfcire @Robtheyid69 @carys1112 @rickyyiddo3 @YOUNEEK_YID @andykenny77 I dont sign on matchdays ???,365517799.0,Hate speech,0.0,,,
1914,3.0,3632.0,2136.0,0.0,7.0,0.0,Wed Aug 31 15:35:36 +0000 2011,245475374.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:31:40 +0000 2017,@thfcire @carys1112 @andykenny77 @Simmo198133 @Robtheyid69 @rickyyiddo3 @YOUNEEK_YID Always gawgus ..leslie pope ash ???,365517799.0,Hate speech,0.0,,,
1918,5.0,3632.0,2136.0,0.0,7.0,0.0,Wed Aug 31 15:35:36 +0000 2011,4808572713.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:22:35 +0000 2017,@carys1112 @andykenny77 @Simmo198133 @Robtheyid69 @rickyyiddo3 @YOUNEEK_YID @thfcire V i p invites only ??? xx,365517799.0,Hate speech,0.0,,,
1919,1.0,3632.0,2136.0,0.0,7.0,0.0,Wed Aug 31 15:35:36 +0000 2011,1550419662.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:21:57 +0000 2017,@Simmo198133 @carys1112 @andykenny77 @Robtheyid69 @rickyyiddo3 @YOUNEEK_YID @thfcire Forgot ...early doors on the sunday ???,365517799.0,Hate speech,0.0,,,
1922,4.0,3632.0,2136.0,0.0,7.0,0.0,Wed Aug 31 15:35:36 +0000 2011,4808572713.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:09:56 +0000 2017,@carys1112 @andykenny77 @Simmo198133 @Robtheyid69 @rickyyiddo3 @YOUNEEK_YID @thfcire Gonna b a proper yid parteeeee… https://t.co/J9U9z1viqk,365517799.0,Hate speech,0.0,,,
1923,3.0,3632.0,2136.0,0.0,7.0,0.0,Wed Aug 31 15:35:36 +0000 2011,360911498.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:06:18 +0000 2017,@Robtheyid69 @Simmo198133 @carys1112 @rickyyiddo3 @YOUNEEK_YID @andykenny77 @thfcire Ill buy some rob ...5 a piece ???,365517799.0,Hate speech,-0.7506,,,
1924,4.0,3632.0,2136.0,0.0,8.0,0.0,Wed Aug 31 15:35:36 +0000 2011,607141036.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:03:39 +0000 2017,@jimspur72 @Robtheyid69 @Simmo198133 @rickyyiddo3 @YOUNEEK_YID @andykenny77 @thfcire @carys1112 Crusty old sort who swallows the lot,365517799.0,Hate speech,0.0,,,
1925,4.0,3632.0,2136.0,0.0,7.0,0.0,Wed Aug 31 15:35:36 +0000 2011,1550419662.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:02:49 +0000 2017,@Simmo198133 @Robtheyid69 @rickyyiddo3 @YOUNEEK_YID @andykenny77 @thfcire @carys1112 Ill gonna follow the sheep stu… https://t.co/1Ze95OMbuk,365517799.0,Hate speech,-0.4215,,,
1926,3.0,3632.0,2136.0,0.0,7.0,0.0,Wed Aug 31 15:35:36 +0000 2011,360911498.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:01:31 +0000 2017,@Robtheyid69 @Simmo198133 @rickyyiddo3 @YOUNEEK_YID @andykenny77 @thfcire @carys1112 50p on that bottle of brake fluid,365517799.0,Hate speech,0.0,,,
1928,4.0,3632.0,2136.0,0.0,7.0,1.0,Wed Aug 31 15:35:36 +0000 2011,360911498.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 21:00:16 +0000 2017,@Robtheyid69 @Simmo198133 @rickyyiddo3 @YOUNEEK_YID @andykenny77 @thfcire @carys1112 Punjab shop next door to the f… https://t.co/QPF4EXYRyH,365517799.0,Hate speech,0.0,,,
1929,4.0,3632.0,2136.0,0.0,7.0,0.0,Wed Aug 31 15:35:36 +0000 2011,360911498.0,the moon ,pope peroni,98824.0,yid,jews,rudeboyspurs,Wed Sep 20 20:58:24 +0000 2017,@Robtheyid69 @Simmo198133 @rickyyiddo3 @YOUNEEK_YID @andykenny77 @thfcire @carys1112 That little fucka is pure filth  rob ..???,365517799.0,Hate speech,-0.5574,,,
1930,0.0,10.0,188.0,2.0,0.0,0.0,Tue Sep 19 15:54:56 +0000 2017,,New York,YidJob.com,5.0,yid,jews,yid_job,Wed Sep 20 10:47:38 +0000 2017,Up Your Job Seeker Empathy by Applying for a Job Yourself https://t.co/8INzJiCvWL #humanresources #yidjob https://t.co/xq7VblyMbY,9.101703517993248e+17,Hate speech,0.0,,,
1931,0.0,178.0,431.0,0.0,9.0,0.0,Fri Sep 15 15:54:57 +0000 2017,390874028.0,Essex,SID THE YID,56.0,yid,jews,SIDTHEYid1,Wed Sep 20 09:35:28 +0000 2017,@mank56 @OsborneGeraint @SID_THE_YID @paulyid @Pedromull @Winstheyid @craigalmondyido @DEECOS69 @hummelspur… https://t.co/VWbz0gFcmp,9.087208036671612e+17,Hate speech,0.0,,,
1932,0.0,125.0,425.0,0.0,1.0,0.0,Mon Jun 01 13:28:50 +0000 2015,2237145742.0,#dreamland,Alex?,5906.0,yid,jews,doba_alex,Wed Sep 20 08:12:06 +0000 2017,@jackjonestv Fight heavy d or your a yid,3305634820.0,Hate speech,-0.3818,,,
1935,1.0,770.0,1653.0,0.0,1.0,0.0,Mon Mar 30 03:52:06 +0000 2009,10050812.0,"Baltimore, MD",Ari,49788.0,yid,jews,aBigMess,Tue Sep 19 21:56:38 +0000 2017,@drnelk or maybe their social media person is a yid,27578677.0,Hate speech,0.0,,,
1938,0.0,260.0,564.0,0.0,1.0,0.0,Wed Nov 23 13:36:47 +0000 2011,419538548.0,Cornwall,Steve Poole,5008.0,yid,jews,winster1972,Tue Sep 19 18:52:45 +0000 2017,"@kernow_yid Different game now, but supposed to change at kick off.  We'll see...",419538548.0,Hate speech,0.0,,,
1939,0.0,260.0,564.0,0.0,1.0,0.0,Wed Nov 23 13:36:47 +0000 2011,2439431086.0,Cornwall,Steve Poole,5008.0,yid,jews,winster1972,Tue Sep 19 18:51:51 +0000 2017,@kernow_yid Apparently it may be here  https://t.co/7Hv2JGKThD,419538548.0,Hate speech,0.0,,,
1940,1.0,129.0,234.0,0.0,1.0,0.0,Tue Oct 02 13:20:09 +0000 2012,2319947800.0,Enfield ,Craig Brewer,1235.0,yid,jews,C_D_Brewer,Tue Sep 19 18:42:59 +0000 2017,@TMartin91 ?? wtf typical yid's,858037200.0,Hate speech,-0.5859,,,
1941,1.0,645.0,940.0,0.0,2.0,0.0,Wed May 27 18:08:30 +0000 2009,47659350.0,Weymouth,Gary Harvey,3991.0,yid,jews,Gaz_THFC,Tue Sep 19 17:55:51 +0000 2017,"@Coral @Nathan_Rodd I'm a yid, but where the hell is Henry and Bergkamp? How can Aguero and Jesus be here. Fuck off Coral you're drunk",42939423.0,Hate speech,-0.9455,,,
1942,0.0,178.0,431.0,0.0,9.0,0.0,Fri Sep 15 15:54:57 +0000 2017,255026395.0,Essex,SID THE YID,56.0,yid,jews,SIDTHEYid1,Tue Sep 19 03:55:26 +0000 2017,@paulyid @mank56 @SID_THE_YID @OsborneGeraint @Pedromull @Winstheyid @craigalmondyido @DEECOS69 @hummelspur… https://t.co/PRMLsZ75jY,9.087208036671612e+17,Hate speech,0.0,,,
1943,0.0,178.0,431.0,0.0,10.0,0.0,Fri Sep 15 15:54:57 +0000 2017,390874028.0,Essex,SID THE YID,56.0,yid,jews,SIDTHEYid1,Tue Sep 19 03:35:39 +0000 2017,@mank56 @SID_THE_YID @OsborneGeraint @Pedromull @Winstheyid @craigalmondyido @DEECOS69 @hummelspur @rudeboyspurs @paulyid Morning Mr mank56,9.087208036671612e+17,Hate speech,0.0,,,
1945,0.0,254.0,330.0,0.0,2.0,0.0,Tue Apr 25 10:44:06 +0000 2017,4850658923.0,Venus,Tini,1966.0,yid,jews,Itsonlymeto,Mon Sep 18 18:16:53 +0000 2017,@Stu_The_Yid @32yid Why wouldn't you? Men trust me with they're cars! I've just picked up my nephews car ????,8.568211109811855e+17,Hate speech,-0.4577,,,
1947,1.0,254.0,330.0,0.0,2.0,0.0,Tue Apr 25 10:44:06 +0000 2017,4850658923.0,Venus,Tini,1966.0,yid,jews,Itsonlymeto,Mon Sep 18 17:25:49 +0000 2017,@Stu_The_Yid @32yid Nope! I can reverse &amp; park! ?,8.568211109811855e+17,Hate speech,0.0,,,
1949,0.0,178.0,431.0,0.0,9.0,0.0,Fri Sep 15 15:54:57 +0000 2017,390874028.0,Essex,SID THE YID,56.0,yid,jews,SIDTHEYid1,Mon Sep 18 13:33:24 +0000 2017,@mank56 @SID_THE_YID @OsborneGeraint @Pedromull @Winstheyid @craigalmondyido @DEECOS69 @hummelspur @rudeboyspurs… https://t.co/Zi1tUq0QVp,9.087208036671612e+17,Hate speech,0.0,,,
1950,1.0,178.0,431.0,0.0,10.0,0.0,Fri Sep 15 15:54:57 +0000 2017,462153443.0,Essex,SID THE YID,56.0,yid,jews,SIDTHEYid1,Mon Sep 18 10:23:59 +0000 2017,@OsborneGeraint @SID_THE_YID @mank56 @Pedromull @Winstheyid @craigalmondyido @DEECOS69 @hummelspur @rudeboyspurs @paulyid Morning ozzy,9.087208036671612e+17,Hate speech,0.0,,,
1951,1.0,1096.0,911.0,0.0,2.0,0.0,Thu Sep 27 20:29:11 +0000 2012,360560710.0,Essex,????ARK??,10964.0,yid,jews,markz1000,Mon Sep 18 09:19:26 +0000 2017,@GaryNewman08 @welwyn_arsenal Not as bad as that cider supping yid though ??,849910460.0,Hate speech,-0.5423,,,
1952,0.0,178.0,431.0,0.0,10.0,0.0,Fri Sep 15 15:54:57 +0000 2017,416921825.0,Essex,SID THE YID,56.0,yid,jews,SIDTHEYid1,Mon Sep 18 06:35:22 +0000 2017,@SID_THE_YID @mank56 @Pedromull @OsborneGeraint @Winstheyid @craigalmondyido @DEECOS69 @hummelspur @rudeboyspurs @paulyid Morning SID n all,9.087208036671612e+17,Hate speech,0.0,,,
