Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score
69,6.0,1789.0,516.0,0.0,0.0,1.0,Wed Apr 05 00:09:56 +0000 2017,,"District of Columbia, USA",#PresidentKushner,8621.0,black people are,black,PrezKushner,Sun Sep 24 23:16:30 +0000 2017,"Nah, he just hates black people and people richer than him. When both those are the same person ... https://t.co/sPC0UcIF1v",8.494137593534095e+17,Neither,-0.6249
70,0.0,1036.0,1301.0,1.0,1.0,0.0,Mon Jun 08 18:28:53 +0000 2015,8.238777847244431e+17,"Nashville, TN",🇺🇸HoundOfUlster⚔,26769.0,black people are,black,raiderman108,Sun Sep 24 23:16:19 +0000 2017,@MewHissMew So all the people tweeting #TakeAKnee are black nationalists?,3313625421.0,Neither,-0.6486
75,0.0,686.0,646.0,0.0,0.0,1.0,Mon Sep 03 07:29:45 +0000 2012,,mesa az,TRU,9391.0,black people are,black,truman_tucker4,Sun Sep 24 23:14:13 +0000 2017,Because there are no black people in NASCAR 🤔 https://t.co/nIGoFzi63L,799849634.0,Neither,-0.6124
80,2.0,40.0,236.0,0.0,1.0,0.0,Sat Aug 26 00:51:54 +0000 2017,2467791.0,United States,Manny the Manatee,400.0,black people are,black,manny_manatee2,Sun Sep 24 23:11:45 +0000 2017,"@washingtonpost Hahaha hahaha Yeah that's why Arpaio deserved a pardon, why some Nazis are fine people, but black g… https://t.co/6Dx3hr6Ohm",9.012457874089656e+17,Neither,-0.6467
83,1.0,129.0,417.0,0.0,4.0,0.0,Fri Feb 06 15:42:10 +0000 2009,2670596544.0,"Boulder, CO",The Wildflower Seed,578.0,black people are,black,WildFlowerSeed_,Sun Sep 24 23:11:06 +0000 2017,@BasedPatriot14 @amandadasaro @Corrynmb @realDonaldTrump Police killing unarmed citizens is abhorrent. It is also a… https://t.co/ZllxrV8d8y,20245336.0,Neither,-0.743
88,0.0,1033.0,1048.0,0.0,1.0,0.0,Thu Jul 23 17:19:33 +0000 2015,18823758.0,,SlimJim,85840.0,black people are,black,SlimJim2123,Sun Sep 24 23:09:13 +0000 2017,"@BSO Who’s surprised by this, it’s obvious when its time to put up or shut up, black people are all we got!",3389604502.0,Neither,-0.6571
92,1.0,369.0,265.0,0.0,4.0,0.0,Fri Mar 13 04:22:43 +0000 2009,1498609195.0,"Las Vegas, NV",👑 Bacardii m3,3375.0,black people are,black,bacardiidark,Sun Sep 24 23:08:31 +0000 2017,@katmore9 @OpenDiscourse76 @gogreen200086 @_JakeRussell They are millionaires yes. They are also black yes. They un… https://t.co/W9WFwZg1o3,24126728.0,Neither,-0.9041
98,0.0,3401.0,4999.0,0.0,2.0,0.0,Thu Apr 16 10:39:20 +0000 2009,8.078128027611587e+17,"Kentucky, USA",Not So Mellow D,127878.0,black people are,black,melodijoy,Sun Sep 24 23:05:33 +0000 2017,@Styx666Official @ErikH526 Only when they kill people w cars. Nazis march to exterminate people. Players are… https://t.co/v0O3GFqbma,31718463.0,Neither,-0.5965
101,0.0,68.0,663.0,0.0,4.0,0.0,Wed Nov 18 01:00:00 +0000 2009,197306938.0,"Santa Fe, NM",Lexy Davis,1493.0,black people are,black,lexysd,Sun Sep 24 23:04:56 +0000 2017,@a_j_francis @BTFMatthew @lpackard @TomiLahren I was referring to statistics in this article which would mean that… https://t.co/u6Uxb7Q6fq,90764977.0,Neither,-0.7142
103,0.0,196.0,251.0,0.0,2.0,0.0,Wed Feb 22 07:23:20 +0000 2012,7.750520945209098e+17,"Austin, TX",John Carroll,7359.0,black people are,black,FmnJohn,Sun Sep 24 23:03:03 +0000 2017,"@HuzzahHonzi @MattWalshBlog It’s not a case that black people are just disobeying cops, and you probably know that.  3/5",499554528.0,Neither,-0.7269
113,0.0,674.0,809.0,0.0,0.0,0.0,Mon Jan 20 16:37:12 +0000 2014,2293825150.0,"Louisville, OH",Yadrnak,9381.0,black people are,black,Yadrnak03,Sun Sep 24 22:59:14 +0000 2017,Bc I’m white and that’s a black thing to do ? Ridiculous. People also need to realize that these athletes are not tanking a knee to,2293825150.0,Neither,-0.5423
120,1.0,316.0,277.0,0.0,1.0,0.0,Wed Nov 18 05:50:25 +0000 2015,4409793082.0,"Dallas, TX",BrownTexasGirl,5235.0,black people are,black,PurpleReign14,Sun Sep 24 22:56:12 +0000 2017,@TomarraWagoner We are tired of living like this and tired of them pretending like they don't see it. As if black p… https://t.co/JVZzNzN9fN,4275689725.0,Neither,-0.9283
126,0.0,129.0,717.0,0.0,3.0,0.0,Tue Feb 24 15:25:43 +0000 2009,7.052100776790999e+17,Philadelphia,JP 🇪🇺🌐,9578.0,black people are,black,jpj1421,Sun Sep 24 22:54:40 +0000 2017,@DennisHolt9 @FoxNews @ANHQDC Black people are being murdered on our streets and you are upset they made you think… https://t.co/EKsgpMgtQV,21762558.0,Neither,-0.8402
127,0.0,110.0,519.0,0.0,1.0,0.0,Wed Dec 30 19:53:04 +0000 2015,9.117305827150193e+17,"New York, USA",Rhyme and Reason,2158.0,black people are,black,RhymNReason,Sun Sep 24 22:54:30 +0000 2017,@SChildersNC Do you understand pourcentages &amp; statistics? Black people are 3 times more likely to get shot by Polic… https://t.co/rxGf4npOew,4657014681.0,Neither,-0.5267
137,1.0,2090.0,1282.0,0.0,0.0,0.0,Sat Nov 29 06:22:54 +0000 2014,,"Daytona Beach, FL",Spencer Johnson,38768.0,black people are,black,ImSpencerChase,Sun Sep 24 22:50:19 +0000 2017,"""Black people shouldn't be allowed to voice their opinion"" is more or less what you're saying???Do you actually rea… https://t.co/yAaoKJ2g5G",2913417097.0,Neither,-0.6124
144,0.0,10.0,49.0,0.0,1.0,0.0,Tue May 23 22:50:58 +0000 2017,25073877.0,"Pennsylvania, USA",Doug Kilgore,995.0,black people are,black,DougKilgore4,Sun Sep 24 22:48:06 +0000 2017,@realDonaldTrump Neo Nazi’s are good people but black athletes peacefully protesting are sons of bitches. You’re a racist hypocrite.,8.671508922352067e+17,Offensive language,-0.6486
145,0.0,90.0,434.0,0.0,2.0,0.0,Thu Mar 26 19:57:54 +0000 2009,123095244.0,"Denton, TX",Lehi Tollestrup,809.0,black people are,black,fabricoflife928,Sun Sep 24 22:47:26 +0000 2017,"@caboosegrl @FoxNews Let's be honest, the only reason people are up in arms is because black athletes are protestin… https://t.co/Ur9Sy3tlbW",26833978.0,Neither,-0.5423
158,1.0,328.0,226.0,0.0,1.0,0.0,Mon May 18 17:35:34 +0000 2015,25073877.0,"Harvest, AL",Mr. Exclusive 53,1686.0,black people are,black,53Boyz,Sun Sep 24 22:42:52 +0000 2017,@realDonaldTrump Are you that mad that people like you can't control black people anymore? And scared to say so??? Lmao,3288733103.0,Neither,-0.7669
162,0.0,67.0,50.0,0.0,2.0,0.0,Wed Oct 17 03:06:39 +0000 2012,256496294.0,"Houston, Texas",Marianne Fanning,833.0,black people are,black,MarianneFannin2,Sun Sep 24 22:42:08 +0000 2017,@frogcycle @JenniferJJacobs Why are they protesting?  Certainly isn't all the young black people murdered in Chicago!,885932371.0,Neither,-0.8176
178,0.0,83.0,136.0,0.0,2.0,0.0,Fri Apr 20 17:35:55 +0000 2012,187320202.0,Pittsburgh,Pub Matt The Don,6028.0,black people are,black,PubMattTheDon,Sun Sep 24 22:36:59 +0000 2017,@pens4life2 @realadammalloy People are legit mad af that (mostly) rich black men are kneeling and aren't grateful bla bla bla bla,558809882.0,Neither,-0.5672
186,2.0,1376.0,530.0,0.0,0.0,2.0,Mon Jun 11 18:44:07 +0000 2007,,"Iowa City, Iowa",Nick Bergus,101.0,black people are,black,bergus,Sun Sep 24 22:35:26 +0000 2017,Reminder: no one is protesting the national anthem. People are protesting a nation that beats and kills black and b… https://t.co/ksYj0WimBt,6750322.0,Neither,-0.6177
187,0.0,44.0,35.0,0.0,5.0,0.0,Thu Dec 18 03:07:54 +0000 2008,412449632.0,"Reisterstown, MD",Ravenslady,396.0,black people are,black,PurpleGcode,Sun Sep 24 22:34:52 +0000 2017,"@zachdrescher @ValerieSueRock @bmore_momo @hllewis2 @Ravens Why do you say ""Justice?""  What's the question, are Bla… https://t.co/8YDeRiuuAc",18207366.0,Neither,-0.575
189,0.0,696.0,551.0,0.0,6.0,0.0,Tue Aug 06 07:43:02 +0000 2013,92599647.0,"Lexvegas, Ky",Shyy Glizzy 🥀,9860.0,black people are,black,__CarlyyMarley,Sun Sep 24 22:34:39 +0000 2017,@DenZTV @JasonAsAlways @thecjpearson @realDonaldTrump @Kaepernick7 @StephenCurry30 Not because they was just being… https://t.co/edkjejQ3eN,1649780779.0,Neither,-0.9432
201,0.0,954.0,2474.0,0.0,0.0,0.0,Fri Sep 04 18:49:53 +0000 2009,,The Minneapolis! Uptown!,John McGrath,29868.0,black are,black,willibbys,Sun Sep 24 23:44:30 +0000 2017,How many black guys are on the team? https://t.co/kTXRCl2IJO,71607386.0,Neither,-0.5965
215,0.0,453.0,532.0,0.0,5.0,0.0,Fri Jan 23 19:59:45 +0000 2015,2993703132.0,"Denver, CO",TwittaFingas,6936.0,black are,black,anddontatme,Sun Sep 24 23:42:59 +0000 2017,@garbear_21 @aneshia_gipson @poetic_anger @Mrs_B_Bradley @ReggieBush Maybe because those with name that “sounds bla… https://t.co/eEeM3QZaWM,2993703132.0,Neither,-0.6808
218,0.0,3252.0,4995.0,0.0,5.0,0.0,Thu Jun 18 23:31:52 +0000 2009,3554655375.0,Pennsylvania,Wayde Delafield,36915.0,black are,black,WaydeDe,Sun Sep 24 23:42:01 +0000 2017,@ikaren312 @vegasjful @EdKrassen @HillaryClinton @_edwardmondini_ that are murdered by other blacks or 50% of black babies that are aborted,48533154.0,Neither,-0.8559
225,0.0,492.0,855.0,0.0,0.0,0.0,Tue Apr 14 01:42:35 +0000 2015,,"Toronto, Ontario",Sofia Garcia,146.0,black are,black,SgSofigar2001,Sun Sep 24 23:41:06 +0000 2017,"When you see everything happening in Puerto Rico and you think about the part in ""black out from"" ITH where sonny sings ""we are power less""",3154231946.0,Neither,-0.5574
240,0.0,566.0,416.0,0.0,1.0,0.0,Fri Jun 03 23:37:14 +0000 2016,39308549.0,"Mission, British Columbia",Ugochukwu K Madukwe,32400.0,black are,black,TheRealUgom,Sun Sep 24 23:39:02 +0000 2017,@DailyCaller Really! Fat Boy. It is time you stop your pretence of speaking for blacks. You do not represent any bl… https://t.co/ohJruPjw2r,7.388772332431196e+17,Neither,-0.6124
241,0.0,453.0,532.0,0.0,5.0,0.0,Fri Jan 23 19:59:45 +0000 2015,2993703132.0,"Denver, CO",TwittaFingas,6936.0,black are,black,anddontatme,Sun Sep 24 23:39:00 +0000 2017,@garbear_21 @aneshia_gipson @poetic_anger @Mrs_B_Bradley @ReggieBush 74 percent of black students and 80 percent of… https://t.co/GZygVarLjN,2993703132.0,Neither,-0.765
263,0.0,10.0,34.0,0.0,2.0,0.0,Fri Sep 05 16:58:07 +0000 2014,16877611.0,"Brownstown, PA",Pete Macadoo,152.0,black are,black,PMacadoo,Sun Sep 24 23:36:29 +0000 2017,@FOXSports @NASCARONFOX How many of those drivers are black? https://t.co/nZQxvNwFxj,2762093123.0,Neither,-0.9161
266,0.0,1229.0,1562.0,0.0,2.0,0.0,Thu Jul 20 16:20:11 +0000 2017,3297022953.0,"Port Charlotte, Florida, USA",Carol Hanselman,9080.0,black are,black,CJHanselman,Sun Sep 24 23:36:05 +0000 2017,@kwilli1046 @ROCKONDUDE2 I know. Damn they are crawling out of the swamp. Reminds me of movie Creature from the Bla… https://t.co/ai1uO86xXB,8.880710441243443e+17,Neither,-0.5859
271,0.0,67.0,161.0,0.0,2.0,0.0,Sun Jul 09 14:14:46 +0000 2017,15759244.0,United States,Mike,498.0,black are,black,sergeantmdavid,Sun Sep 24 23:35:24 +0000 2017,@Tania94 @CovfefeD Yes I am a Black Russian and you are the liberal queen of the Can't Understand Normal Thinking S… https://t.co/ibaQbWZQ3G,8.840532161738424e+17,Neither,-0.7096
297,0.0,0.0,19.0,0.0,1.0,0.0,Sun Sep 24 06:58:40 +0000 2017,241430222.0,"South Carolina, USA",Richard Brown,10.0,black are,black,Richard59577121,Sun Sep 24 23:32:48 +0000 2017,"@anniefoutz They say it's racist, majority of the players are black, look in the stands and see what the majority is!",9.118473358519706e+17,Neither,-0.7003
299,0.0,90.0,399.0,0.0,1.0,0.0,Wed Apr 06 09:08:36 +0000 2016,138182116.0,"Georgia, USA",Lifting People,22.0,black are,black,DrMBeasley,Sun Sep 24 23:32:44 +0000 2017,@trish_regan The other part would be the majority of his employees are not Black. And his patrons are not either. Good grief.,7.176401381054833e+17,Neither,-0.9506
314,0.0,15.0,106.0,0.0,1.0,0.0,Tue Sep 21 02:43:31 +0000 2010,35586563.0,"Brooklyn,new york",terrance hester,100.0,black are,black,tmacafire,Sun Sep 24 23:31:40 +0000 2017,@jemelehill Most black women are!!!!!,193149504.0,Neither,-0.5267
319,0.0,1540.0,1013.0,0.0,1.0,0.0,Fri Jul 31 12:35:58 +0000 2009,25073877.0,"Atlanta, GA",Brother Tee,12919.0,black are,black,BroTeeRadioShow,Sun Sep 24 23:30:43 +0000 2017,@realDonaldTrump Now you wanna talk about viewership? The NHL has been struggling with that for years. Of course a… https://t.co/DIsI0WRPPl,61760610.0,Neither,-0.5423
327,2.0,294.0,337.0,0.0,1.0,0.0,Fri Sep 03 01:03:43 +0000 2010,15464697.0,"Tampa, Florida",vivaricco,11209.0,black are,black,rdipego,Sun Sep 24 23:30:09 +0000 2017,"@JuddLegum You mean black men with incredible talent &amp; skills, who are now millionaires, are protesting racism?",186276424.0,Neither,-0.8807
329,0.0,1393.0,963.0,0.0,1.0,0.0,Wed Jul 13 19:59:39 +0000 2011,,O m a h a ☀️ N e b r a s k a ,🎃K e r i 🎃,84341.0,black are,black,sh00tToKirill,Sun Sep 24 23:29:58 +0000 2017,It's that time of year again when I can't watch Wild/Avs games because @AltitudeTV are assholes and black them out,334868905.0,Neither,-0.8275
340,0.0,126.0,492.0,0.0,3.0,0.0,Sat Apr 16 23:46:57 +0000 2011,808189861.0,"Oceanside, NY",Brian Von Braunsberg,1624.0,black are,black,BriVonishere,Sun Sep 24 23:28:40 +0000 2017,@TL267sister @Alyssa_Milano @realDonaldTrump They are backing racism and bullshit. Good thing Trump didn't say blac… https://t.co/N92RrDPW4o,283274032.0,Neither,-0.5965
356,0.0,13.0,60.0,0.0,0.0,0.0,Tue Jul 29 03:27:56 +0000 2014,,"Glendale, California ",Milton Hernandez,87.0,black are,black,andyh330,Sun Sep 24 23:26:34 +0000 2017,Not to be weird or racist but why are the Kardashian’s upset with black men and then having baby with black men. Exce t only for one of them,2689071415.0,Neither,-0.5423
367,0.0,462.0,634.0,0.0,3.0,0.0,Fri Jan 20 17:41:05 +0000 2017,239007628.0,"Texas, USA",Ray Dobrosky,4659.0,black are,black,RayDobrosky,Sun Sep 24 23:25:18 +0000 2017,@mjc694aol @lsmith4680 @steelers The political left is the side we are discussing.  What has been done to the black… https://t.co/vCQbt6XR46,8.224992014100685e+17,Neither,-0.5423
372,0.0,174.0,844.0,0.0,0.0,0.0,Tue Jan 06 02:06:24 +0000 2009,,Alabama,KennedyGirl,2640.0,black are,black,BillieKennedy,Sun Sep 24 23:25:04 +0000 2017,They are protesting the killing of unarmed black men. How did you miss that? https://t.co/r8VU0sAZ0a,18657083.0,Neither,-0.6705
376,0.0,132.0,302.0,0.0,1.0,0.0,Tue May 26 15:30:20 +0000 2009,,"Austin, TX",Not a real Superhero,4701.0,black are,black,AnotherLibShill,Sun Sep 24 23:24:28 +0000 2017,Watch the video of @mosesbread72 being pinned &amp; handcuffed l in Vegas for running from gun shots... black millionai… https://t.co/Emws5CAvvF,42647396.0,Neither,-0.5574
377,0.0,285.0,894.0,0.0,0.0,0.0,Fri Sep 09 01:02:20 +0000 2011,,"Austin, TX",Ricky Prophete,7637.0,black are,black,RickyProphete,Sun Sep 24 23:24:25 +0000 2017,"If you think ppl are kneeling solely b/c of Trump, you’re out of your damn mind 

This is about state violence agai… https://t.co/WjBUihNUCO",370434188.0,Neither,-0.7579
378,1.0,499.0,601.0,0.0,3.0,0.0,Wed Feb 01 01:02:07 +0000 2017,8.98974476972503e+17,Illinois,Black_365com,20263.0,black are,black,Black_365com,Sun Sep 24 23:24:24 +0000 2017,@TrevanneFoxton @BAP_US @uniqueloves Too many are afraid of leaving the plantation. Its what white owners count on.… https://t.co/hB4JEn4Ope,8.265964587323392e+17,Neither,-0.6705
381,0.0,4.0,11.0,0.0,1.0,0.0,Wed Aug 02 13:48:54 +0000 2017,3384823715.0,"Jacksonville Beach, FL",John l richerds,42.0,black are,black,john_richerds,Sun Sep 24 23:24:10 +0000 2017,@mimicurvaceous Black is a Queen and you are just that always my Queen,8.927440174898217e+17,Neither,-0.5423
400,0.0,76.0,369.0,0.0,2.0,0.0,Fri May 26 01:11:59 +0000 2017,25084916.0,"New Jersey, USA",Shannon from MRM,2241.0,black are,black,SaveEuropean,Sun Sep 24 23:22:31 +0000 2017,"@buffalobills @CutonDime25 Bullshit.  As a white man, I can get fired for putting my political beliefs into my work… https://t.co/AKt5mhDNjb",8.67911156295508e+17,Neither,-0.5423
404,0.0,470.0,279.0,0.0,0.0,1.0,Sun Sep 04 00:57:15 +0000 2016,,"Raleigh, NC",adri is daddy,23982.0,black are,black,shortylikemo,Sun Sep 24 23:21:59 +0000 2017,"why do black mothers feel the need to talk after an event, mfs are ready to gooooooo!!!",7.722370525659382e+17,Neither,-0.5267
405,0.0,317.0,525.0,0.0,3.0,0.0,Sat Jan 21 19:12:56 +0000 2017,9.07004050574594e+17,National City,Kara ZorEl,3943.0,black are,black,DarkHeroine_,Sun Sep 24 23:21:56 +0000 2017,"@Notarottenshot @TheFlash____ @SlushySlurper ""So, what kind of coffee floats your boat Reverb?Are you a black coffe… https://t.co/QGDmumb9X4",8.22884703711744e+17,Neither,-0.6908
418,0.0,3089.0,3025.0,0.0,3.0,0.0,Sat Mar 05 06:46:08 +0000 2011,8.356942375177748e+17,Deep in the Heart of Texas,Sheri,64398.0,black are,black,TexasSheri,Sun Sep 24 23:20:16 +0000 2017,@belligerent_bex @thatonequeen @centricism Who is dying on the streets? Are you referring to  black on black crime--like Chicago?,261098344.0,Neither,-0.5848
419,0.0,973.0,690.0,0.0,1.0,0.0,Sat Jul 06 16:16:12 +0000 2013,,"Santa Clarita, CA",Tell It Like It Is!,23324.0,black are,black,Jeres_Rant,Sun Sep 24 23:20:14 +0000 2017,Sen. @KamalaHarris is the potential 2020 Democratic presidential candidate generating the most excitement  https://t.co/eWu9uVAk66,1573107234.0,Neither,-0.7096
427,2.0,69.0,103.0,0.0,1.0,0.0,Wed Jan 11 03:03:43 +0000 2017,1917731.0,"Pawleys Island, SC",Mary A Shanks,1101.0,black are,black,MaryAShanks1,Sun Sep 24 23:19:23 +0000 2017,@thehill So when they kneel they are protesting police brutality on black ppl which is racism so when Trump condemn… https://t.co/W1wd1NVMLE,8.190169136742441e+17,Neither,-0.6597
497,32.0,671.0,724.0,0.0,0.0,2.0,Sat Apr 28 19:30:28 +0000 2012,,"Los Angeles, CA",ALΞX,7822.0,all black are,black,alexvarsaphoto,Sun Sep 24 22:51:33 +0000 2017,"*me in all black with big backpack*

Girl: are you a DJ?

Me: nah just a photographer

Girl: oh, bye.",565686514.0,Neither,-0.7568
501,20.0,5440.0,5693.0,0.0,0.0,9.0,Sat Oct 15 00:47:17 +0000 2016,,"St Paul, MN",Fredrick Soukup,1645.0,all black are,black,21stcenturyfred,Sun Sep 24 22:47:06 +0000 2017,Wow. What are all the black drivers going to do? https://t.co/VjQFc01oMR,7.87092446727381e+17,Neither,-0.6124
506,0.0,125.0,213.0,0.0,0.0,0.0,Wed May 04 21:49:16 +0000 2016,7.279784235078902e+17,"St Petersburg, FL","Scott rollins ,jr",9826.0,all black are,black,ScottRollinsJr1,Sun Sep 24 22:43:50 +0000 2017,"MEN IN BLACK LESSON 1:NOT ALL ""MONSTERS R BAD""
2 NOT ALL ""MONSTERS R EXTRA_TERRESTRIAL
3THIS 1 DONT CONCEIVE EMOTIO… https://t.co/uJIZCSNhkz",7.279784235078902e+17,Neither,-0.6808
508,1.0,2268.0,191.0,1.0,3.0,0.0,Sun Oct 05 11:15:08 +0000 2014,343753463.0,"Tuscaloosa, AL",Cap! 🐟,35016.0,all black are,black,capstonekid,Sun Sep 24 22:42:43 +0000 2017,"@macy_dale @yamanboo @SHANKK50 I have black relatives. I love them all, but don't let me hear an overpaid #NFL play… https://t.co/7wj9YYJ9ej",2807395473.0,Neither,-0.743
519,0.0,675.0,531.0,0.0,0.0,0.0,Thu Aug 21 07:01:25 +0000 2014,,"Cleveland, OH",Jordan 🇺🇸,67151.0,all black are,black,JordieCorleone,Sun Sep 24 22:37:20 +0000 2017,I love being black but y'all are embarrassing,2751530978.0,Neither,-0.6114
522,3.0,641.0,673.0,0.0,0.0,0.0,Sat Jul 11 02:36:10 +0000 2015,,"Florida, USA",cenobite batman stan,116906.0,all black are,black,cassysandsmark,Sun Sep 24 22:36:06 +0000 2017,Why are all my ocs so depressing smh from unhappy messianic figures to Black Hole Boys,3370112367.0,Neither,-0.6597
524,0.0,69.0,252.0,0.0,1.0,0.0,Fri May 30 13:14:36 +0000 2014,468646961.0,"Atlanta, GA",kate4ez,1294.0,all black are,black,kate4ez,Sun Sep 24 22:34:35 +0000 2017,@TomiLahren Black men in StL are 2x as likely to be killed by a cop than any American is to be murdered at all. Wha… https://t.co/mta3b0fMJz,2572276841.0,Neither,-0.7334
532,1.0,328.0,226.0,0.0,1.0,0.0,Mon May 18 17:35:34 +0000 2015,7.405664200948777e+17,"Harvest, AL",Mr. Exclusive 53,1686.0,all black are,black,53Boyz,Sun Sep 24 22:28:58 +0000 2017,@realJakeBailey U to be better then black people but you are really beneath all of them because you think with your feelings not rationality,3288733103.0,Neither,-0.5423
551,0.0,266.0,637.0,0.0,3.0,0.0,Thu Jul 31 21:23:30 +0000 2008,419132659.0,"Jacksonville, FL",Dylan Murphy,5399.0,all black are,black,DylanMailz,Sun Sep 24 22:17:06 +0000 2017,@alecsellick @loridaniels1438 @ESPNStatsInfo Name the one black guy that all the others are piggybacking on. Can you name the others?,15680887.0,Neither,-0.8687
560,0.0,189.0,455.0,1.0,3.0,0.0,Sun Mar 29 03:56:51 +0000 2009,19426551.0,"Aurora, CO",Awake,1817.0,all black are,black,TisWhatItTIS,Sun Sep 24 22:09:23 +0000 2017,"@NFL @rolandsmartin  @JoyAnnReid  are all the NEW kneelers, supporting Black lives or mad for being called S.O.B ? it matters! #TakeTheKnee",27375649.0,Neither,-0.5423
564,0.0,184.0,236.0,0.0,1.0,0.0,Tue Jun 25 04:27:25 +0000 2013,,Paradise,jean grey,4771.0,all black are,black,jeanettedoom,Sun Sep 24 22:07:30 +0000 2017,"actions speak louder than words. It’s safe to say all the men that kneel down are black men, yes @realDonaldTrump t… https://t.co/tBrA0xztRW",1544790350.0,Neither,-0.5106
566,0.0,1178.0,87.0,0.0,0.0,0.0,Sat Jul 09 22:02:50 +0000 2016,,m,ruru 🍂,19082.0,all black are,black,uItwj,Sun Sep 24 22:06:18 +0000 2017,all the cadaan people in the tram are staring at me like haven’t you seen a black woman before ???,7.518994395942216e+17,Neither,-0.7876
568,0.0,399.0,186.0,0.0,1.0,0.0,Fri Mar 18 22:55:20 +0000 2016,25073877.0,"Florida, USA",Babra207,14157.0,all black are,black,barbra2074,Sun Sep 24 22:03:55 +0000 2017,@realDonaldTrump they are all blacks.  Think of the hundreds of thousands of black men who have died defending our… https://t.co/l8QFWQGYDl,7.109628224155853e+17,Neither,-0.7964
574,0.0,1413.0,622.0,0.0,4.0,0.0,Mon Sep 29 02:53:33 +0000 2008,4776963732.0,Tennessee,Bud,38031.0,all black are,black,BudKinches,Sun Sep 24 22:00:30 +0000 2017,@TallGirl6262 @RavioliH7 @TexasVV @chelseahandler So black and brown are all that matters right? 🤔 why did no one k… https://t.co/8wWPA96W61,16506727.0,Neither,-0.8957
